DATE,OPPONENT,ARENA,HOME
10-29-2014,Brooklyn Nets,TD Garden,True
11-1-2014,Houston Rockets,Toyota Center,False
11-3-2014,Dallas Mavericks,American Airlines Center,False
11-5-2014,Toronto Raptors,TD Garden,True
11-7-2014,Indiana Pacers,TD Garden,True
11-8-2014,Chicago Bulls,United Center,False
11-12-2014,Oklahoma City Thunder,TD Garden,True
11-14-2014,Cleveland Cavaliers,TD Garden,True
11-17-2014,Phoenix Suns,TD Garden,True
11-19-2014,Philadelphia 76ers,Wells Fargo Center,False
11-21-2014,Memphis Grizzlies,FedExForum,False
11-23-2014,Portland Trail Blazers,TD Garden,True
11-28-2014,Chicago Bulls,TD Garden,True
11-30-2014,San-Antonio Spurs,TD Garden,True
12-2-2014,Atlanta Hawks,Philips Arena,False
12-3-2014,Detroit Pistons,TD Garden,True
12-5-2014,Los Angeles Lakers,TD Garden,True
12-7-2014,Washington Wizards,TD Garden,True
12-8-2014,Washington Wizards,Verizon Center,False
12-10-2014,Charlotte Bobcats,Time Warner Cable Arena,False
12-12-2014,New York Knicks,TD Garden,True
12-15-2014,Philadelphia 76ers,Wells Fargo Center,False
12-17-2014,Orlando Magic,TD Garden,True
12-19-2014,Minnesota Timberwolves,TD Garden,True
12-21-2014,Miami Heat,AmericanAirlines Arena,False
12-23-2014,Orlando Magic,Amway Center,False
12-26-2014,Brooklyn Nets,TD Garden,True
12-27-2014,Washington Wizards,Verizon Center,False
12-31-2014,Sacramento Kings,TD Garden,True
1-2-2015,Dallas Mavericks,TD Garden,True
1-3-2015,Chicago Bulls,United Center,False
1-5-2015,Charlotte Bobcats,TD Garden,True
1-7-2015,Brooklyn Nets,Barclays Center,False
1-9-2015,Indiana Pacers,Bankers Life Fieldhouse,False
1-10-2015,Toronto Raptors,Air Canada Centre,False
1-12-2015,New Orleans Pelicans,TD Garden,True
1-14-2015,Atlanta Hawks,TD Garden,True
1-16-2015,Chicago Bulls,TD Garden,True
1-19-2015,Los Angeles Clippers,Staples Center,False
1-22-2015,Portland Trail Blazers,Moda Center,False
1-23-2015,Denver Nuggets,Pepsi Center,False
1-25-2015,Golden State Warriors,Oracle Arena,False
1-26-2015,Utah Jazz,EnergySolutions Arena,False
1-28-2015,Minnesota Timberwolves,Target Center,False
1-30-2015,Houston Rockets,TD Garden,True
2-1-2015,Miami Heat,TD Garden,True
2-3-2015,New York Knicks,Madison Square Garden,False
2-4-2015,Denver Nuggets,TD Garden,True
2-6-2015,Philadelphia 76ers,TD Garden,True
2-7-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
2-11-2015,Atlanta Hawks,TD Garden,True
2-20-2015,Sacramento Kings,Sleep Train Arena,False
2-22-2015,Los Angeles Lakers,Staples Center,False
2-23-2015,Phoenix Suns,US Airways Center,False
2-25-2015,New York Knicks,TD Garden,True
2-27-2015,Charlotte Bobcats,TD Garden,True
3-1-2015,Golden State Warriors,TD Garden,True
3-3-2015,Cleveland Cavaliers,Quicken Loans Arena,False
3-4-2015,Utah Jazz,TD Garden,True
3-6-2015,New Orleans Pelicans,New Orleans Arena,False
3-8-2015,Orlando Magic,Amway Center,False
3-9-2015,Miami Heat,AmericanAirlines Arena,False
3-11-2015,Memphis Grizzlies,TD Garden,True
3-13-2015,Orlando Magic,TD Garden,True
3-14-2015,Indiana Pacers,Bankers Life Fieldhouse,False
3-16-2015,Philadelphia 76ers,TD Garden,True
3-18-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
3-20-2015,San-Antonio Spurs,AT&T Center,False
3-22-2015,Detroit Pistons,TD Garden,True
3-23-2015,Brooklyn Nets,Barclays Center,False
3-25-2015,Miami Heat,TD Garden,True
3-27-2015,New York Knicks,Madison Square Garden,False
3-29-2015,Los Angeles Clippers,TD Garden,True
3-30-2015,Charlotte Bobcats,Time Warner Cable Arena,False
4-1-2015,Indiana Pacers,TD Garden,True
4-3-2015,Milwaukee Bucks,TD Garden,True
4-4-2015,Toronto Raptors,Air Canada Centre,False
4-8-2015,Detroit Pistons,The Palace of Auburn Hills,False
4-10-2015,Cleveland Cavaliers,Quicken Loans Arena,False
4-12-2015,Cleveland Cavaliers,TD Garden,True
4-14-2015,Toronto Raptors,TD Garden,True
4-15-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
