DATE,OPPONENT,ARENA,HOME
10-29-2014,Boston Celtics,TD Garden,False
11-1-2014,Detroit Pistons,The Palace of Auburn Hills,False
11-3-2014,Oklahoma City Thunder,Barclays Center,True
11-5-2014,Minnesota Timberwolves,Barclays Center,True
11-7-2014,New York Knicks,Barclays Center,True
11-9-2014,Orlando Magic,Barclays Center,True
11-12-2014,Phoenix Suns,US Airways Center,False
11-13-2014,Golden State Warriors,Oracle Arena,False
11-15-2014,Portland Trail Blazers,Moda Center,False
11-17-2014,Miami Heat,Barclays Center,True
11-19-2014,Milwaukee Bucks,Barclays Center,True
11-21-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
11-22-2014,San-Antonio Spurs,AT&T Center,False
11-26-2014,Philadelphia 76ers,Wells Fargo Center,False
11-30-2014,Chicago Bulls,Barclays Center,True
12-2-2014,New York Knicks,Madison Square Garden,False
12-3-2014,San-Antonio Spurs,Barclays Center,True
12-5-2014,Atlanta Hawks,Barclays Center,True
12-8-2014,Cleveland Cavaliers,Barclays Center,True
12-10-2014,Chicago Bulls,United Center,False
12-12-2014,Philadelphia 76ers,Barclays Center,True
12-13-2014,Charlotte Bobcats,Time Warner Cable Arena,False
12-16-2014,Miami Heat,Barclays Center,True
12-17-2014,Toronto Raptors,Air Canada Centre,False
12-19-2014,Cleveland Cavaliers,Quicken Loans Arena,False
12-21-2014,Detroit Pistons,Barclays Center,True
12-23-2014,Denver Nuggets,Barclays Center,True
12-26-2014,Boston Celtics,TD Garden,False
12-27-2014,Indiana Pacers,Barclays Center,True
12-29-2014,Sacramento Kings,Barclays Center,True
12-30-2014,Chicago Bulls,United Center,False
1-2-2015,Orlando Magic,Amway Center,False
1-4-2015,Miami Heat,AmericanAirlines Arena,False
1-5-2015,Dallas Mavericks,Barclays Center,True
1-7-2015,Boston Celtics,Barclays Center,True
1-9-2015,Philadelphia 76ers,Barclays Center,True
1-10-2015,Detroit Pistons,The Palace of Auburn Hills,False
1-12-2015,Houston Rockets,Barclays Center,True
1-14-2015,Memphis Grizzlies,Barclays Center,True
1-16-2015,Washington Wizards,Verizon Center,False
1-17-2015,Washington Wizards,Barclays Center,True
1-21-2015,Sacramento Kings,Sleep Train Arena,False
1-22-2015,Los Angeles Clippers,Staples Center,False
1-24-2015,Utah Jazz,EnergySolutions Arena,False
1-26-2015,Portland Trail Blazers,Barclays Center,True
1-28-2015,Atlanta Hawks,Philips Arena,False
1-30-2015,Toronto Raptors,Barclays Center,True
2-2-2015,Los Angeles Clippers,Barclays Center,True
2-4-2015,Toronto Raptors,Air Canada Centre,False
2-6-2015,New York Knicks,Barclays Center,True
2-7-2015,Washington Wizards,Verizon Center,False
2-9-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
2-10-2015,Memphis Grizzlies,FedExForum,False
2-20-2015,Los Angeles Lakers,Staples Center,False
2-23-2015,Denver Nuggets,Pepsi Center,False
2-25-2015,New Orleans Pelicans,New Orleans Arena,False
2-27-2015,Houston Rockets,Toyota Center,False
2-28-2015,Dallas Mavericks,American Airlines Center,False
3-2-2015,Golden State Warriors,Barclays Center,True
3-4-2015,Charlotte Bobcats,Barclays Center,True
3-6-2015,Phoenix Suns,Barclays Center,True
3-8-2015,Utah Jazz,Barclays Center,True
3-10-2015,New Orleans Pelicans,Barclays Center,True
3-11-2015,Miami Heat,AmericanAirlines Arena,False
3-14-2015,Philadelphia 76ers,Wells Fargo Center,False
3-16-2015,Minnesota Timberwolves,Target Center,False
3-18-2015,Cleveland Cavaliers,Quicken Loans Arena,False
3-20-2015,Milwaukee Bucks,Barclays Center,True
3-21-2015,Indiana Pacers,Bankers Life Fieldhouse,False
3-23-2015,Boston Celtics,Barclays Center,True
3-25-2015,Charlotte Bobcats,Time Warner Cable Arena,False
3-27-2015,Cleveland Cavaliers,Barclays Center,True
3-29-2015,Los Angeles Lakers,Barclays Center,True
3-31-2015,Indiana Pacers,Barclays Center,True
4-1-2015,New York Knicks,Madison Square Garden,False
4-3-2015,Toronto Raptors,Barclays Center,True
4-4-2015,Atlanta Hawks,Philips Arena,False
4-8-2015,Atlanta Hawks,Barclays Center,True
4-10-2015,Washington Wizards,Barclays Center,True
4-12-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
4-13-2015,Chicago Bulls,Barclays Center,True
4-15-2015,Orlando Magic,Barclays Center,True
