DATE,OPPONENT,ARENA,HOME
10-29-2014,Milwaukee Bucks,Time Warner Cable Arena,True
11-1-2014,Memphis Grizzlies,Time Warner Cable Arena,True
11-2-2014,New York Knicks,Madison Square Garden,False
11-4-2014,New Orleans Pelicans,New Orleans Arena,False
11-5-2014,Miami Heat,Time Warner Cable Arena,True
11-7-2014,Atlanta Hawks,Time Warner Cable Arena,True
11-9-2014,Los Angeles Lakers,Staples Center,False
11-11-2014,Portland Trail Blazers,Moda Center,False
11-14-2014,Phoenix Suns,US Airways Center,False
11-15-2014,Golden State Warriors,Oracle Arena,False
11-17-2014,Dallas Mavericks,Time Warner Cable Arena,True
11-19-2014,Indiana Pacers,Bankers Life Fieldhouse,False
11-21-2014,Orlando Magic,Time Warner Cable Arena,True
11-23-2014,Miami Heat,AmericanAirlines Arena,False
11-24-2014,Los Angeles Clippers,Time Warner Cable Arena,True
11-26-2014,Portland Trail Blazers,Time Warner Cable Arena,True
11-28-2014,Golden State Warriors,Time Warner Cable Arena,True
11-29-2014,Atlanta Hawks,Philips Arena,False
12-3-2014,Chicago Bulls,Time Warner Cable Arena,True
12-5-2014,New York Knicks,Time Warner Cable Arena,True
12-10-2014,Boston Celtics,Time Warner Cable Arena,True
12-12-2014,Memphis Grizzlies,FedExForum,False
12-13-2014,Brooklyn Nets,Time Warner Cable Arena,True
12-15-2014,Cleveland Cavaliers,Quicken Loans Arena,False
12-17-2014,Phoenix Suns,Time Warner Cable Arena,True
12-19-2014,Philadelphia 76ers,Wells Fargo Center,False
12-20-2014,Utah Jazz,Time Warner Cable Arena,True
12-22-2014,Denver Nuggets,Time Warner Cable Arena,True
12-23-2014,Milwaukee Bucks,BMO Harris Bradley Center,False
12-26-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
12-27-2014,Orlando Magic,Time Warner Cable Arena,True
12-29-2014,Milwaukee Bucks,Time Warner Cable Arena,True
12-31-2014,Houston Rockets,Toyota Center,False
1-2-2015,Cleveland Cavaliers,Time Warner Cable Arena,True
1-3-2015,Orlando Magic,Amway Center,False
1-5-2015,Boston Celtics,TD Garden,False
1-7-2015,New Orleans Pelicans,Time Warner Cable Arena,True
1-8-2015,Toronto Raptors,Air Canada Centre,False
1-10-2015,New York Knicks,Madison Square Garden,False
1-14-2015,San-Antonio Spurs,Time Warner Cable Arena,True
1-17-2015,Indiana Pacers,Time Warner Cable Arena,True
1-19-2015,Minnesota Timberwolves,Time Warner Cable Arena,True
1-21-2015,Miami Heat,Time Warner Cable Arena,True
1-23-2015,Cleveland Cavaliers,Quicken Loans Arena,False
1-24-2015,New York Knicks,Time Warner Cable Arena,True
1-28-2015,San-Antonio Spurs,AT&T Center,False
1-31-2015,Denver Nuggets,Pepsi Center,False
2-2-2015,Washington Wizards,Verizon Center,False
2-5-2015,Washington Wizards,Time Warner Cable Arena,True
2-7-2015,Philadelphia 76ers,Wells Fargo Center,False
2-8-2015,Indiana Pacers,Time Warner Cable Arena,True
2-10-2015,Detroit Pistons,Time Warner Cable Arena,True
2-21-2015,Oklahoma City Thunder,Time Warner Cable Arena,True
2-22-2015,Dallas Mavericks,American Airlines Center,False
2-25-2015,Chicago Bulls,United Center,False
2-27-2015,Boston Celtics,TD Garden,False
3-1-2015,Orlando Magic,Amway Center,False
3-3-2015,Los Angeles Lakers,Time Warner Cable Arena,True
3-4-2015,Brooklyn Nets,Barclays Center,False
3-6-2015,Toronto Raptors,Time Warner Cable Arena,True
3-8-2015,Detroit Pistons,The Palace of Auburn Hills,False
3-9-2015,Washington Wizards,Time Warner Cable Arena,True
3-11-2015,Sacramento Kings,Time Warner Cable Arena,True
3-13-2015,Chicago Bulls,Time Warner Cable Arena,True
3-16-2015,Utah Jazz,EnergySolutions Arena,False
3-17-2015,Los Angeles Clippers,Staples Center,False
3-20-2015,Sacramento Kings,Sleep Train Arena,False
3-22-2015,Minnesota Timberwolves,Target Center,False
3-23-2015,Chicago Bulls,United Center,False
3-25-2015,Brooklyn Nets,Time Warner Cable Arena,True
3-27-2015,Washington Wizards,Verizon Center,False
3-28-2015,Atlanta Hawks,Time Warner Cable Arena,True
3-30-2015,Boston Celtics,Time Warner Cable Arena,True
4-1-2015,Detroit Pistons,Time Warner Cable Arena,True
4-3-2015,Indiana Pacers,Bankers Life Fieldhouse,False
4-4-2015,Philadelphia 76ers,Time Warner Cable Arena,True
4-7-2015,Miami Heat,AmericanAirlines Arena,False
4-8-2015,Toronto Raptors,Time Warner Cable Arena,True
4-10-2015,Atlanta Hawks,Philips Arena,False
4-12-2015,Detroit Pistons,The Palace of Auburn Hills,False
4-13-2015,Houston Rockets,Time Warner Cable Arena,True
4-15-2015,Toronto Raptors,Air Canada Centre,False
