DATE,OPPONENT,ARENA,HOME
10-29-2014,New York Knicks,Madison Square Garden,False
10-31-2014,Cleveland Cavaliers,United Center,True
11-1-2014,Minnesota Timberwolves,Target Center,False
11-4-2014,Orlando Magic,United Center,True
11-5-2014,Milwaukee Bucks,BMO Harris Bradley Center,False
11-7-2014,Philadelphia 76ers,Wells Fargo Center,False
11-8-2014,Boston Celtics,United Center,True
11-10-2014,Detroit Pistons,United Center,True
11-13-2014,Toronto Raptors,Air Canada Centre,False
11-15-2014,Indiana Pacers,United Center,True
11-17-2014,Los Angeles Clippers,Staples Center,False
11-20-2014,Sacramento Kings,Sleep Train Arena,False
11-21-2014,Portland Trail Blazers,Moda Center,False
11-24-2014,Utah Jazz,EnergySolutions Arena,False
11-25-2014,Denver Nuggets,Pepsi Center,False
11-28-2014,Boston Celtics,TD Garden,False
11-30-2014,Brooklyn Nets,Barclays Center,False
12-2-2014,Dallas Mavericks,United Center,True
12-3-2014,Charlotte Bobcats,Time Warner Cable Arena,False
12-6-2014,Golden State Warriors,United Center,True
12-10-2014,Brooklyn Nets,United Center,True
12-12-2014,Portland Trail Blazers,United Center,True
12-14-2014,Miami Heat,AmericanAirlines Arena,False
12-15-2014,Atlanta Hawks,Philips Arena,False
12-18-2014,New York Knicks,United Center,True
12-19-2014,Memphis Grizzlies,FedExForum,False
12-22-2014,Toronto Raptors,United Center,True
12-23-2014,Washington Wizards,Verizon Center,False
12-25-2014,Los Angeles Lakers,United Center,True
12-27-2014,New Orleans Pelicans,United Center,True
12-29-2014,Indiana Pacers,Bankers Life Fieldhouse,False
12-30-2014,Brooklyn Nets,United Center,True
1-1-2015,Denver Nuggets,United Center,True
1-3-2015,Boston Celtics,United Center,True
1-5-2015,Houston Rockets,United Center,True
1-7-2015,Utah Jazz,United Center,True
1-9-2015,Washington Wizards,Verizon Center,False
1-10-2015,Milwaukee Bucks,United Center,True
1-12-2015,Orlando Magic,United Center,True
1-14-2015,Washington Wizards,United Center,True
1-16-2015,Boston Celtics,TD Garden,False
1-17-2015,Atlanta Hawks,United Center,True
1-19-2015,Cleveland Cavaliers,Quicken Loans Arena,False
1-22-2015,San-Antonio Spurs,United Center,True
1-23-2015,Dallas Mavericks,American Airlines Center,False
1-25-2015,Miami Heat,United Center,True
1-27-2015,Golden State Warriors,Oracle Arena,False
1-29-2015,Los Angeles Lakers,Staples Center,False
1-30-2015,Phoenix Suns,US Airways Center,False
2-4-2015,Houston Rockets,Toyota Center,False
2-7-2015,New Orleans Pelicans,New Orleans Arena,False
2-8-2015,Orlando Magic,Amway Center,False
2-10-2015,Sacramento Kings,United Center,True
2-12-2015,Cleveland Cavaliers,United Center,True
2-20-2015,Detroit Pistons,The Palace of Auburn Hills,False
2-21-2015,Phoenix Suns,United Center,True
2-23-2015,Milwaukee Bucks,United Center,True
2-25-2015,Charlotte Bobcats,United Center,True
2-27-2015,Minnesota Timberwolves,United Center,True
3-1-2015,Los Angeles Clippers,United Center,True
3-3-2015,Washington Wizards,United Center,True
3-5-2015,Oklahoma City Thunder,United Center,True
3-6-2015,Indiana Pacers,Bankers Life Fieldhouse,False
3-8-2015,San-Antonio Spurs,AT&T Center,False
3-9-2015,Memphis Grizzlies,United Center,True
3-11-2015,Philadelphia 76ers,Wells Fargo Center,False
3-13-2015,Charlotte Bobcats,Time Warner Cable Arena,False
3-15-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
3-18-2015,Indiana Pacers,United Center,True
3-20-2015,Toronto Raptors,United Center,True
3-21-2015,Detroit Pistons,The Palace of Auburn Hills,False
3-23-2015,Charlotte Bobcats,United Center,True
3-25-2015,Toronto Raptors,Air Canada Centre,False
3-28-2015,New York Knicks,United Center,True
4-1-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
4-3-2015,Detroit Pistons,United Center,True
4-5-2015,Cleveland Cavaliers,Quicken Loans Arena,False
4-8-2015,Orlando Magic,Amway Center,False
4-9-2015,Miami Heat,AmericanAirlines Arena,False
4-11-2015,Philadelphia 76ers,United Center,True
4-13-2015,Brooklyn Nets,Barclays Center,False
4-15-2015,Atlanta Hawks,United Center,True
