DATE,OPPONENT,ARENA,HOME
10-30-2014,New York Knicks,Quicken Loans Arena,True
10-31-2014,Chicago Bulls,United Center,False
11-4-2014,Portland Trail Blazers,Moda Center,False
11-5-2014,Utah Jazz,EnergySolutions Arena,False
11-7-2014,Denver Nuggets,Pepsi Center,False
11-10-2014,New Orleans Pelicans,Quicken Loans Arena,True
11-14-2014,Boston Celtics,TD Garden,False
11-15-2014,Atlanta Hawks,Quicken Loans Arena,True
11-17-2014,Denver Nuggets,Quicken Loans Arena,True
11-19-2014,San-Antonio Spurs,Quicken Loans Arena,True
11-21-2014,Washington Wizards,Verizon Center,False
11-22-2014,Toronto Raptors,Quicken Loans Arena,True
11-24-2014,Orlando Magic,Quicken Loans Arena,True
11-26-2014,Washington Wizards,Quicken Loans Arena,True
11-29-2014,Indiana Pacers,Quicken Loans Arena,True
12-2-2014,Milwaukee Bucks,Quicken Loans Arena,True
12-4-2014,New York Knicks,Madison Square Garden,False
12-5-2014,Toronto Raptors,Air Canada Centre,False
12-8-2014,Brooklyn Nets,Barclays Center,False
12-9-2014,Toronto Raptors,Quicken Loans Arena,True
12-11-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
12-12-2014,New Orleans Pelicans,New Orleans Arena,False
12-15-2014,Charlotte Bobcats,Quicken Loans Arena,True
12-17-2014,Atlanta Hawks,Quicken Loans Arena,True
12-19-2014,Brooklyn Nets,Quicken Loans Arena,True
12-21-2014,Memphis Grizzlies,Quicken Loans Arena,True
12-23-2014,Minnesota Timberwolves,Quicken Loans Arena,True
12-25-2014,Miami Heat,AmericanAirlines Arena,False
12-26-2014,Orlando Magic,Amway Center,False
12-28-2014,Detroit Pistons,Quicken Loans Arena,True
12-30-2014,Atlanta Hawks,Philips Arena,False
12-31-2014,Milwaukee Bucks,Quicken Loans Arena,True
1-2-2015,Charlotte Bobcats,Time Warner Cable Arena,False
1-4-2015,Dallas Mavericks,Quicken Loans Arena,True
1-5-2015,Philadelphia 76ers,Wells Fargo Center,False
1-7-2015,Houston Rockets,Quicken Loans Arena,True
1-9-2015,Golden State Warriors,Oracle Arena,False
1-11-2015,Sacramento Kings,Sleep Train Arena,False
1-13-2015,Phoenix Suns,US Airways Center,False
1-15-2015,Los Angeles Lakers,Staples Center,False
1-16-2015,Los Angeles Clippers,Staples Center,False
1-19-2015,Chicago Bulls,Quicken Loans Arena,True
1-21-2015,Utah Jazz,Quicken Loans Arena,True
1-23-2015,Charlotte Bobcats,Quicken Loans Arena,True
1-25-2015,Oklahoma City Thunder,Quicken Loans Arena,True
1-27-2015,Detroit Pistons,The Palace of Auburn Hills,False
1-28-2015,Portland Trail Blazers,Quicken Loans Arena,True
1-30-2015,Sacramento Kings,Quicken Loans Arena,True
1-31-2015,Minnesota Timberwolves,Target Center,False
2-2-2015,Philadelphia 76ers,Quicken Loans Arena,True
2-5-2015,Los Angeles Clippers,Quicken Loans Arena,True
2-6-2015,Indiana Pacers,Bankers Life Fieldhouse,False
2-8-2015,Los Angeles Lakers,Quicken Loans Arena,True
2-11-2015,Miami Heat,Quicken Loans Arena,True
2-12-2015,Chicago Bulls,United Center,False
2-20-2015,Washington Wizards,Verizon Center,False
2-22-2015,New York Knicks,Madison Square Garden,False
2-24-2015,Detroit Pistons,The Palace of Auburn Hills,False
2-26-2015,Golden State Warriors,Quicken Loans Arena,True
2-27-2015,Indiana Pacers,Bankers Life Fieldhouse,False
3-1-2015,Houston Rockets,Toyota Center,False
3-3-2015,Boston Celtics,Quicken Loans Arena,True
3-4-2015,Toronto Raptors,Air Canada Centre,False
3-6-2015,Atlanta Hawks,Philips Arena,False
3-7-2015,Phoenix Suns,Quicken Loans Arena,True
3-10-2015,Dallas Mavericks,American Airlines Center,False
3-12-2015,San-Antonio Spurs,AT&T Center,False
3-15-2015,Orlando Magic,Amway Center,False
3-16-2015,Miami Heat,AmericanAirlines Arena,False
3-18-2015,Brooklyn Nets,Quicken Loans Arena,True
3-20-2015,Indiana Pacers,Quicken Loans Arena,True
3-22-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
3-25-2015,Memphis Grizzlies,FedExForum,False
3-27-2015,Brooklyn Nets,Barclays Center,False
3-29-2015,Philadelphia 76ers,Quicken Loans Arena,True
4-2-2015,Miami Heat,Quicken Loans Arena,True
4-5-2015,Chicago Bulls,Quicken Loans Arena,True
4-8-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
4-10-2015,Boston Celtics,Quicken Loans Arena,True
4-12-2015,Boston Celtics,TD Garden,False
4-13-2015,Detroit Pistons,Quicken Loans Arena,True
4-15-2015,Washington Wizards,Quicken Loans Arena,True
