DATE,OPPONENT,ARENA,HOME
10-28-2014,San-Antonio Spurs,AT&T Center,False
10-30-2014,Utah Jazz,American Airlines Center,True
11-1-2014,New Orleans Pelicans,New Orleans Arena,False
11-3-2014,Boston Celtics,American Airlines Center,True
11-6-2014,Portland Trail Blazers,Moda Center,False
11-7-2014,Utah Jazz,EnergySolutions Arena,False
11-9-2014,Miami Heat,American Airlines Center,True
11-11-2014,Sacramento Kings,American Airlines Center,True
11-13-2014,Philadelphia 76ers,American Airlines Center,True
11-15-2014,Minnesota Timberwolves,American Airlines Center,True
11-17-2014,Charlotte Bobcats,Time Warner Cable Arena,False
11-19-2014,Washington Wizards,Verizon Center,False
11-21-2014,Los Angeles Lakers,American Airlines Center,True
11-22-2014,Houston Rockets,Toyota Center,False
11-24-2014,Indiana Pacers,American Airlines Center,True
11-26-2014,New York Knicks,American Airlines Center,True
11-28-2014,Toronto Raptors,Air Canada Centre,False
11-29-2014,Philadelphia 76ers,Wells Fargo Center,False
12-2-2014,Chicago Bulls,United Center,False
12-3-2014,Milwaukee Bucks,BMO Harris Bradley Center,False
12-5-2014,Phoenix Suns,American Airlines Center,True
12-7-2014,Milwaukee Bucks,American Airlines Center,True
12-9-2014,Memphis Grizzlies,FedExForum,False
12-10-2014,New Orleans Pelicans,American Airlines Center,True
12-13-2014,Golden State Warriors,American Airlines Center,True
12-16-2014,New York Knicks,Madison Square Garden,False
12-17-2014,Detroit Pistons,The Palace of Auburn Hills,False
12-20-2014,San-Antonio Spurs,American Airlines Center,True
12-22-2014,Atlanta Hawks,American Airlines Center,True
12-23-2014,Phoenix Suns,US Airways Center,False
12-26-2014,Los Angeles Lakers,American Airlines Center,True
12-28-2014,Oklahoma City Thunder,American Airlines Center,True
12-30-2014,Washington Wizards,American Airlines Center,True
1-2-2015,Boston Celtics,TD Garden,False
1-4-2015,Cleveland Cavaliers,Quicken Loans Arena,False
1-5-2015,Brooklyn Nets,Barclays Center,False
1-7-2015,Detroit Pistons,American Airlines Center,True
1-10-2015,Los Angeles Clippers,Staples Center,False
1-13-2015,Sacramento Kings,Sleep Train Arena,False
1-14-2015,Denver Nuggets,Pepsi Center,False
1-16-2015,Denver Nuggets,American Airlines Center,True
1-19-2015,Memphis Grizzlies,FedExForum,False
1-21-2015,Minnesota Timberwolves,Target Center,False
1-23-2015,Chicago Bulls,American Airlines Center,True
1-25-2015,New Orleans Pelicans,New Orleans Arena,False
1-27-2015,Memphis Grizzlies,American Airlines Center,True
1-28-2015,Houston Rockets,Toyota Center,False
1-30-2015,Miami Heat,AmericanAirlines Arena,False
1-31-2015,Orlando Magic,Amway Center,False
2-2-2015,Minnesota Timberwolves,American Airlines Center,True
2-4-2015,Golden State Warriors,Oracle Arena,False
2-5-2015,Sacramento Kings,Sleep Train Arena,False
2-7-2015,Portland Trail Blazers,American Airlines Center,True
2-9-2015,Los Angeles Clippers,American Airlines Center,True
2-11-2015,Utah Jazz,American Airlines Center,True
2-19-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
2-20-2015,Houston Rockets,American Airlines Center,True
2-22-2015,Charlotte Bobcats,American Airlines Center,True
2-24-2015,Toronto Raptors,American Airlines Center,True
2-25-2015,Atlanta Hawks,Philips Arena,False
2-28-2015,Brooklyn Nets,American Airlines Center,True
3-2-2015,New Orleans Pelicans,American Airlines Center,True
3-5-2015,Portland Trail Blazers,Moda Center,False
3-6-2015,Golden State Warriors,Oracle Arena,False
3-8-2015,Los Angeles Lakers,Staples Center,False
3-10-2015,Cleveland Cavaliers,American Airlines Center,True
3-13-2015,Los Angeles Clippers,American Airlines Center,True
3-16-2015,Oklahoma City Thunder,American Airlines Center,True
3-18-2015,Orlando Magic,American Airlines Center,True
3-20-2015,Memphis Grizzlies,American Airlines Center,True
3-22-2015,Phoenix Suns,US Airways Center,False
3-24-2015,San-Antonio Spurs,American Airlines Center,True
3-27-2015,San-Antonio Spurs,AT&T Center,False
3-29-2015,Indiana Pacers,Bankers Life Fieldhouse,False
4-1-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
4-2-2015,Houston Rockets,American Airlines Center,True
4-4-2015,Golden State Warriors,American Airlines Center,True
4-8-2015,Phoenix Suns,American Airlines Center,True
4-10-2015,Denver Nuggets,Pepsi Center,False
4-12-2015,Los Angeles Lakers,Staples Center,False
4-13-2015,Utah Jazz,EnergySolutions Arena,False
4-15-2015,Portland Trail Blazers,American Airlines Center,True
