DATE,OPPONENT,ARENA,HOME
10-29-2014,Detroit Pistons,Pepsi Center,True
11-1-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
11-3-2014,Sacramento Kings,Pepsi Center,True
11-5-2014,Sacramento Kings,Sleep Train Arena,False
11-7-2014,Cleveland Cavaliers,Pepsi Center,True
11-9-2014,Portland Trail Blazers,Moda Center,False
11-12-2014,Portland Trail Blazers,Pepsi Center,True
11-14-2014,Indiana Pacers,Bankers Life Fieldhouse,False
11-16-2014,New York Knicks,Madison Square Garden,False
11-17-2014,Cleveland Cavaliers,Quicken Loans Arena,False
11-19-2014,Oklahoma City Thunder,Pepsi Center,True
11-21-2014,New Orleans Pelicans,Pepsi Center,True
11-23-2014,Los Angeles Lakers,Staples Center,False
11-25-2014,Chicago Bulls,Pepsi Center,True
11-26-2014,Phoenix Suns,US Airways Center,False
11-28-2014,Phoenix Suns,Pepsi Center,True
12-1-2014,Utah Jazz,EnergySolutions Arena,False
12-2-2014,Portland Trail Blazers,Pepsi Center,True
12-5-2014,Washington Wizards,Verizon Center,False
12-7-2014,Atlanta Hawks,Philips Arena,False
12-8-2014,Toronto Raptors,Air Canada Centre,False
12-10-2014,Miami Heat,Pepsi Center,True
12-13-2014,Houston Rockets,Toyota Center,False
12-14-2014,San-Antonio Spurs,Pepsi Center,True
12-17-2014,Houston Rockets,Pepsi Center,True
12-19-2014,Los Angeles Clippers,Pepsi Center,True
12-20-2014,Indiana Pacers,Pepsi Center,True
12-22-2014,Charlotte Bobcats,Time Warner Cable Arena,False
12-23-2014,Brooklyn Nets,Barclays Center,False
12-26-2014,Minnesota Timberwolves,Pepsi Center,True
12-28-2014,Toronto Raptors,Pepsi Center,True
12-30-2014,Los Angeles Lakers,Pepsi Center,True
1-1-2015,Chicago Bulls,United Center,False
1-3-2015,Memphis Grizzlies,Pepsi Center,True
1-5-2015,Minnesota Timberwolves,Target Center,False
1-7-2015,Orlando Magic,Pepsi Center,True
1-9-2015,Sacramento Kings,Sleep Train Arena,False
1-14-2015,Dallas Mavericks,Pepsi Center,True
1-16-2015,Dallas Mavericks,American Airlines Center,False
1-17-2015,Minnesota Timberwolves,Pepsi Center,True
1-19-2015,Golden State Warriors,Oracle Arena,False
1-20-2015,San-Antonio Spurs,Pepsi Center,True
1-23-2015,Boston Celtics,Pepsi Center,True
1-25-2015,Washington Wizards,Pepsi Center,True
1-26-2015,Los Angeles Clippers,Staples Center,False
1-28-2015,New Orleans Pelicans,New Orleans Arena,False
1-29-2015,Memphis Grizzlies,FedExForum,False
1-31-2015,Charlotte Bobcats,Pepsi Center,True
2-3-2015,Philadelphia 76ers,Wells Fargo Center,False
2-4-2015,Boston Celtics,TD Garden,False
2-6-2015,Detroit Pistons,The Palace of Auburn Hills,False
2-9-2015,Oklahoma City Thunder,Pepsi Center,True
2-10-2015,Los Angeles Lakers,Staples Center,False
2-20-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
2-22-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
2-23-2015,Brooklyn Nets,Pepsi Center,True
2-25-2015,Phoenix Suns,Pepsi Center,True
2-27-2015,Utah Jazz,Pepsi Center,True
3-1-2015,New Orleans Pelicans,Pepsi Center,True
3-3-2015,Milwaukee Bucks,Pepsi Center,True
3-4-2015,Minnesota Timberwolves,Target Center,False
3-6-2015,San-Antonio Spurs,AT&T Center,False
3-7-2015,Houston Rockets,Pepsi Center,True
3-9-2015,New York Knicks,Pepsi Center,True
3-11-2015,Atlanta Hawks,Pepsi Center,True
3-13-2015,Golden State Warriors,Pepsi Center,True
3-15-2015,New Orleans Pelicans,New Orleans Arena,False
3-16-2015,Memphis Grizzlies,FedExForum,False
3-19-2015,Houston Rockets,Toyota Center,False
3-20-2015,Miami Heat,AmericanAirlines Arena,False
3-22-2015,Orlando Magic,Amway Center,False
3-25-2015,Philadelphia 76ers,Pepsi Center,True
3-27-2015,Utah Jazz,Pepsi Center,True
3-28-2015,Portland Trail Blazers,Moda Center,False
4-1-2015,Utah Jazz,EnergySolutions Arena,False
4-3-2015,San-Antonio Spurs,AT&T Center,False
4-4-2015,Los Angeles Clippers,Pepsi Center,True
4-8-2015,Los Angeles Lakers,Pepsi Center,True
4-10-2015,Dallas Mavericks,Pepsi Center,True
4-12-2015,Sacramento Kings,Pepsi Center,True
4-13-2015,Los Angeles Clippers,Staples Center,False
4-15-2015,Golden State Warriors,Oracle Arena,False
