DATE,OPPONENT,ARENA,HOME
10-29-2014,Denver Nuggets,Pepsi Center,False
10-30-2014,Minnesota Timberwolves,Target Center,False
11-1-2014,Brooklyn Nets,The Palace of Auburn Hills,True
11-5-2014,New York Knicks,The Palace of Auburn Hills,True
11-7-2014,Milwaukee Bucks,The Palace of Auburn Hills,True
11-9-2014,Utah Jazz,The Palace of Auburn Hills,True
11-10-2014,Chicago Bulls,United Center,False
11-12-2014,Washington Wizards,Verizon Center,False
11-14-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
11-15-2014,Memphis Grizzlies,FedExForum,False
11-17-2014,Orlando Magic,The Palace of Auburn Hills,True
11-19-2014,Phoenix Suns,The Palace of Auburn Hills,True
11-21-2014,Atlanta Hawks,Philips Arena,False
11-25-2014,Milwaukee Bucks,BMO Harris Bradley Center,False
11-26-2014,Los Angeles Clippers,The Palace of Auburn Hills,True
11-28-2014,Milwaukee Bucks,The Palace of Auburn Hills,True
11-30-2014,Golden State Warriors,The Palace of Auburn Hills,True
12-2-2014,Los Angeles Lakers,The Palace of Auburn Hills,True
12-3-2014,Boston Celtics,TD Garden,False
12-6-2014,Philadelphia 76ers,The Palace of Auburn Hills,True
12-7-2014,Oklahoma City Thunder,The Palace of Auburn Hills,True
12-9-2014,Portland Trail Blazers,The Palace of Auburn Hills,True
12-12-2014,Phoenix Suns,US Airways Center,False
12-13-2014,Sacramento Kings,Sleep Train Arena,False
12-15-2014,Los Angeles Clippers,Staples Center,False
12-17-2014,Dallas Mavericks,The Palace of Auburn Hills,True
12-19-2014,Toronto Raptors,The Palace of Auburn Hills,True
12-21-2014,Brooklyn Nets,Barclays Center,False
12-26-2014,Indiana Pacers,The Palace of Auburn Hills,True
12-28-2014,Cleveland Cavaliers,Quicken Loans Arena,False
12-30-2014,Orlando Magic,Amway Center,False
1-2-2015,New York Knicks,Madison Square Garden,False
1-4-2015,Sacramento Kings,The Palace of Auburn Hills,True
1-6-2015,San-Antonio Spurs,AT&T Center,False
1-7-2015,Dallas Mavericks,American Airlines Center,False
1-9-2015,Atlanta Hawks,The Palace of Auburn Hills,True
1-10-2015,Brooklyn Nets,The Palace of Auburn Hills,True
1-12-2015,Toronto Raptors,Air Canada Centre,False
1-14-2015,New Orleans Pelicans,The Palace of Auburn Hills,True
1-16-2015,Indiana Pacers,Bankers Life Fieldhouse,False
1-17-2015,Philadelphia 76ers,The Palace of Auburn Hills,True
1-19-2015,Atlanta Hawks,Philips Arena,False
1-21-2015,Orlando Magic,The Palace of Auburn Hills,True
1-24-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
1-25-2015,Toronto Raptors,Air Canada Centre,False
1-27-2015,Cleveland Cavaliers,The Palace of Auburn Hills,True
1-28-2015,Philadelphia 76ers,Wells Fargo Center,False
1-31-2015,Houston Rockets,The Palace of Auburn Hills,True
2-3-2015,Miami Heat,The Palace of Auburn Hills,True
2-4-2015,Indiana Pacers,Bankers Life Fieldhouse,False
2-6-2015,Denver Nuggets,The Palace of Auburn Hills,True
2-8-2015,Minnesota Timberwolves,The Palace of Auburn Hills,True
2-10-2015,Charlotte Bobcats,Time Warner Cable Arena,False
2-11-2015,San-Antonio Spurs,The Palace of Auburn Hills,True
2-20-2015,Chicago Bulls,The Palace of Auburn Hills,True
2-22-2015,Washington Wizards,The Palace of Auburn Hills,True
2-24-2015,Cleveland Cavaliers,The Palace of Auburn Hills,True
2-27-2015,New York Knicks,The Palace of Auburn Hills,True
2-28-2015,Washington Wizards,Verizon Center,False
3-4-2015,New Orleans Pelicans,New Orleans Arena,False
3-6-2015,Houston Rockets,Toyota Center,False
3-8-2015,Charlotte Bobcats,The Palace of Auburn Hills,True
3-10-2015,Los Angeles Lakers,Staples Center,False
3-11-2015,Golden State Warriors,Oracle Arena,False
3-13-2015,Portland Trail Blazers,Moda Center,False
3-14-2015,Utah Jazz,EnergySolutions Arena,False
3-17-2015,Memphis Grizzlies,The Palace of Auburn Hills,True
3-18-2015,Philadelphia 76ers,Wells Fargo Center,False
3-21-2015,Chicago Bulls,The Palace of Auburn Hills,True
3-22-2015,Boston Celtics,TD Garden,False
3-24-2015,Toronto Raptors,The Palace of Auburn Hills,True
3-27-2015,Orlando Magic,Amway Center,False
3-29-2015,Miami Heat,AmericanAirlines Arena,False
3-31-2015,Atlanta Hawks,The Palace of Auburn Hills,True
4-1-2015,Charlotte Bobcats,Time Warner Cable Arena,False
4-3-2015,Chicago Bulls,United Center,False
4-4-2015,Miami Heat,The Palace of Auburn Hills,True
4-8-2015,Boston Celtics,The Palace of Auburn Hills,True
4-10-2015,Indiana Pacers,The Palace of Auburn Hills,True
4-12-2015,Charlotte Bobcats,The Palace of Auburn Hills,True
4-13-2015,Cleveland Cavaliers,Quicken Loans Arena,False
4-15-2015,New York Knicks,Madison Square Garden,False
