DATE,OPPONENT,ARENA,HOME
10-29-2014,Sacramento Kings,Sleep Train Arena,False
11-1-2014,Los Angeles Lakers,Oracle Arena,True
11-2-2014,Portland Trail Blazers,Moda Center,False
11-5-2014,Los Angeles Clippers,Oracle Arena,True
11-8-2014,Houston Rockets,Toyota Center,False
11-9-2014,Phoenix Suns,US Airways Center,False
11-11-2014,San-Antonio Spurs,Oracle Arena,True
11-13-2014,Brooklyn Nets,Oracle Arena,True
11-15-2014,Charlotte Bobcats,Oracle Arena,True
11-16-2014,Los Angeles Lakers,Staples Center,False
11-21-2014,Utah Jazz,Oracle Arena,True
11-23-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
11-25-2014,Miami Heat,AmericanAirlines Arena,False
11-26-2014,Orlando Magic,Amway Center,False
11-28-2014,Charlotte Bobcats,Time Warner Cable Arena,False
11-30-2014,Detroit Pistons,The Palace of Auburn Hills,False
12-2-2014,Orlando Magic,Oracle Arena,True
12-4-2014,New Orleans Pelicans,Oracle Arena,True
12-6-2014,Chicago Bulls,United Center,False
12-8-2014,Minnesota Timberwolves,Target Center,False
12-10-2014,Houston Rockets,Oracle Arena,True
12-13-2014,Dallas Mavericks,American Airlines Center,False
12-14-2014,New Orleans Pelicans,New Orleans Arena,False
12-16-2014,Memphis Grizzlies,FedExForum,False
12-18-2014,Oklahoma City Thunder,Oracle Arena,True
12-22-2014,Sacramento Kings,Oracle Arena,True
12-23-2014,Los Angeles Lakers,Staples Center,False
12-25-2014,Los Angeles Clippers,Staples Center,False
12-27-2014,Minnesota Timberwolves,Oracle Arena,True
12-30-2014,Philadelphia 76ers,Oracle Arena,True
1-2-2015,Toronto Raptors,Oracle Arena,True
1-5-2015,Oklahoma City Thunder,Oracle Arena,True
1-7-2015,Indiana Pacers,Oracle Arena,True
1-9-2015,Cleveland Cavaliers,Oracle Arena,True
1-13-2015,Utah Jazz,EnergySolutions Arena,False
1-14-2015,Miami Heat,Oracle Arena,True
1-16-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
1-17-2015,Houston Rockets,Toyota Center,False
1-19-2015,Denver Nuggets,Oracle Arena,True
1-21-2015,Houston Rockets,Oracle Arena,True
1-23-2015,Sacramento Kings,Oracle Arena,True
1-25-2015,Boston Celtics,Oracle Arena,True
1-27-2015,Chicago Bulls,Oracle Arena,True
1-30-2015,Utah Jazz,EnergySolutions Arena,False
1-31-2015,Phoenix Suns,Oracle Arena,True
2-3-2015,Sacramento Kings,Sleep Train Arena,False
2-4-2015,Dallas Mavericks,Oracle Arena,True
2-6-2015,Atlanta Hawks,Philips Arena,False
2-7-2015,New York Knicks,Madison Square Garden,False
2-9-2015,Philadelphia 76ers,Wells Fargo Center,False
2-11-2015,Minnesota Timberwolves,Target Center,False
2-20-2015,San-Antonio Spurs,Oracle Arena,True
2-22-2015,Indiana Pacers,Bankers Life Fieldhouse,False
2-24-2015,Washington Wizards,Verizon Center,False
2-26-2015,Cleveland Cavaliers,Quicken Loans Arena,False
2-27-2015,Toronto Raptors,Air Canada Centre,False
3-1-2015,Boston Celtics,TD Garden,False
3-2-2015,Brooklyn Nets,Barclays Center,False
3-4-2015,Milwaukee Bucks,Oracle Arena,True
3-6-2015,Dallas Mavericks,Oracle Arena,True
3-8-2015,Los Angeles Clippers,Oracle Arena,True
3-9-2015,Phoenix Suns,US Airways Center,False
3-11-2015,Detroit Pistons,Oracle Arena,True
3-13-2015,Denver Nuggets,Pepsi Center,False
3-14-2015,New York Knicks,Oracle Arena,True
3-16-2015,Los Angeles Lakers,Oracle Arena,True
3-18-2015,Atlanta Hawks,Oracle Arena,True
3-20-2015,New Orleans Pelicans,Oracle Arena,True
3-21-2015,Utah Jazz,Oracle Arena,True
3-23-2015,Washington Wizards,Oracle Arena,True
3-24-2015,Portland Trail Blazers,Moda Center,False
3-27-2015,Memphis Grizzlies,FedExForum,False
3-28-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
3-31-2015,Los Angeles Clippers,Staples Center,False
4-2-2015,Phoenix Suns,Oracle Arena,True
4-4-2015,Dallas Mavericks,American Airlines Center,False
4-5-2015,San-Antonio Spurs,AT&T Center,False
4-7-2015,New Orleans Pelicans,New Orleans Arena,False
4-9-2015,Portland Trail Blazers,Oracle Arena,True
4-11-2015,Minnesota Timberwolves,Oracle Arena,True
4-13-2015,Memphis Grizzlies,Oracle Arena,True
4-15-2015,Denver Nuggets,Oracle Arena,True
