DATE,OPPONENT,ARENA,HOME
10-28-2014,Los Angeles Lakers,Staples Center,False
10-29-2014,Utah Jazz,EnergySolutions Arena,False
11-1-2014,Boston Celtics,Toyota Center,True
11-3-2014,Philadelphia 76ers,Wells Fargo Center,False
11-4-2014,Miami Heat,AmericanAirlines Arena,False
11-6-2014,San-Antonio Spurs,Toyota Center,True
11-8-2014,Golden State Warriors,Toyota Center,True
11-12-2014,Minnesota Timberwolves,Target Center,False
11-14-2014,Philadelphia 76ers,Toyota Center,True
11-16-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
11-17-2014,Memphis Grizzlies,FedExForum,False
11-19-2014,Los Angeles Lakers,Toyota Center,True
11-22-2014,Dallas Mavericks,Toyota Center,True
11-24-2014,New York Knicks,Toyota Center,True
11-26-2014,Sacramento Kings,Toyota Center,True
11-28-2014,Los Angeles Clippers,Toyota Center,True
11-29-2014,Milwaukee Bucks,BMO Harris Bradley Center,False
12-3-2014,Memphis Grizzlies,Toyota Center,True
12-5-2014,Minnesota Timberwolves,Target Center,False
12-6-2014,Phoenix Suns,Toyota Center,True
12-10-2014,Golden State Warriors,Oracle Arena,False
12-11-2014,Sacramento Kings,Sleep Train Arena,False
12-13-2014,Denver Nuggets,Toyota Center,True
12-17-2014,Denver Nuggets,Pepsi Center,False
12-18-2014,New Orleans Pelicans,Toyota Center,True
12-20-2014,Atlanta Hawks,Toyota Center,True
12-22-2014,Portland Trail Blazers,Toyota Center,True
12-26-2014,Memphis Grizzlies,FedExForum,False
12-28-2014,San-Antonio Spurs,AT&T Center,False
12-29-2014,Washington Wizards,Toyota Center,True
12-31-2014,Charlotte Bobcats,Toyota Center,True
1-2-2015,New Orleans Pelicans,New Orleans Arena,False
1-3-2015,Miami Heat,Toyota Center,True
1-5-2015,Chicago Bulls,United Center,False
1-7-2015,Cleveland Cavaliers,Quicken Loans Arena,False
1-8-2015,New York Knicks,Madison Square Garden,False
1-10-2015,Utah Jazz,Toyota Center,True
1-12-2015,Brooklyn Nets,Barclays Center,False
1-14-2015,Orlando Magic,Amway Center,False
1-15-2015,Oklahoma City Thunder,Toyota Center,True
1-17-2015,Golden State Warriors,Toyota Center,True
1-19-2015,Indiana Pacers,Toyota Center,True
1-21-2015,Golden State Warriors,Oracle Arena,False
1-23-2015,Phoenix Suns,US Airways Center,False
1-25-2015,Los Angeles Lakers,Staples Center,False
1-28-2015,Dallas Mavericks,Toyota Center,True
1-30-2015,Boston Celtics,TD Garden,False
1-31-2015,Detroit Pistons,The Palace of Auburn Hills,False
2-4-2015,Chicago Bulls,Toyota Center,True
2-6-2015,Milwaukee Bucks,Toyota Center,True
2-8-2015,Portland Trail Blazers,Toyota Center,True
2-10-2015,Phoenix Suns,US Airways Center,False
2-11-2015,Los Angeles Clippers,Staples Center,False
2-20-2015,Dallas Mavericks,American Airlines Center,False
2-21-2015,Toronto Raptors,Toyota Center,True
2-23-2015,Minnesota Timberwolves,Toyota Center,True
2-25-2015,Los Angeles Clippers,Toyota Center,True
2-27-2015,Brooklyn Nets,Toyota Center,True
3-1-2015,Cleveland Cavaliers,Toyota Center,True
3-3-2015,Atlanta Hawks,Philips Arena,False
3-4-2015,Memphis Grizzlies,Toyota Center,True
3-6-2015,Detroit Pistons,Toyota Center,True
3-7-2015,Denver Nuggets,Pepsi Center,False
3-11-2015,Portland Trail Blazers,Moda Center,False
3-12-2015,Utah Jazz,EnergySolutions Arena,False
3-15-2015,Los Angeles Clippers,Staples Center,False
3-17-2015,Orlando Magic,Toyota Center,True
3-19-2015,Denver Nuggets,Toyota Center,True
3-21-2015,Phoenix Suns,Toyota Center,True
3-23-2015,Indiana Pacers,Bankers Life Fieldhouse,False
3-25-2015,New Orleans Pelicans,New Orleans Arena,False
3-27-2015,Minnesota Timberwolves,Toyota Center,True
3-29-2015,Washington Wizards,Verizon Center,False
3-30-2015,Toronto Raptors,Air Canada Centre,False
4-1-2015,Sacramento Kings,Toyota Center,True
4-2-2015,Dallas Mavericks,American Airlines Center,False
4-5-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
4-8-2015,San-Antonio Spurs,AT&T Center,False
4-10-2015,San-Antonio Spurs,Toyota Center,True
4-12-2015,New Orleans Pelicans,Toyota Center,True
4-13-2015,Charlotte Bobcats,Time Warner Cable Arena,False
4-15-2015,Utah Jazz,Toyota Center,True
