DATE,OPPONENT,ARENA,HOME
10-29-2014,Philadelphia 76ers,Bankers Life Fieldhouse,True
10-31-2014,Memphis Grizzlies,Bankers Life Fieldhouse,True
11-1-2014,Atlanta Hawks,Philips Arena,False
11-4-2014,Milwaukee Bucks,Bankers Life Fieldhouse,True
11-5-2014,Washington Wizards,Verizon Center,False
11-7-2014,Boston Celtics,TD Garden,False
11-8-2014,Washington Wizards,Bankers Life Fieldhouse,True
11-10-2014,Utah Jazz,Bankers Life Fieldhouse,True
11-12-2014,Miami Heat,AmericanAirlines Arena,False
11-14-2014,Denver Nuggets,Bankers Life Fieldhouse,True
11-15-2014,Chicago Bulls,United Center,False
11-19-2014,Charlotte Bobcats,Bankers Life Fieldhouse,True
11-22-2014,Phoenix Suns,Bankers Life Fieldhouse,True
11-24-2014,Dallas Mavericks,American Airlines Center,False
11-26-2014,San-Antonio Spurs,AT&T Center,False
11-28-2014,Orlando Magic,Bankers Life Fieldhouse,True
11-29-2014,Cleveland Cavaliers,Quicken Loans Arena,False
12-2-2014,Phoenix Suns,US Airways Center,False
12-4-2014,Portland Trail Blazers,Moda Center,False
12-5-2014,Sacramento Kings,Sleep Train Arena,False
12-8-2014,Atlanta Hawks,Bankers Life Fieldhouse,True
12-10-2014,Los Angeles Clippers,Bankers Life Fieldhouse,True
12-12-2014,Toronto Raptors,Air Canada Centre,False
12-13-2014,Portland Trail Blazers,Bankers Life Fieldhouse,True
12-15-2014,Los Angeles Lakers,Bankers Life Fieldhouse,True
12-17-2014,Los Angeles Clippers,Staples Center,False
12-20-2014,Denver Nuggets,Pepsi Center,False
12-21-2014,Minnesota Timberwolves,Target Center,False
12-23-2014,New Orleans Pelicans,Bankers Life Fieldhouse,True
12-26-2014,Detroit Pistons,The Palace of Auburn Hills,False
12-27-2014,Brooklyn Nets,Barclays Center,False
12-29-2014,Chicago Bulls,Bankers Life Fieldhouse,True
12-31-2014,Miami Heat,Bankers Life Fieldhouse,True
1-2-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
1-4-2015,Los Angeles Lakers,Staples Center,False
1-5-2015,Utah Jazz,EnergySolutions Arena,False
1-7-2015,Golden State Warriors,Oracle Arena,False
1-9-2015,Boston Celtics,Bankers Life Fieldhouse,True
1-10-2015,Philadelphia 76ers,Wells Fargo Center,False
1-13-2015,Minnesota Timberwolves,Bankers Life Fieldhouse,True
1-16-2015,Detroit Pistons,Bankers Life Fieldhouse,True
1-17-2015,Charlotte Bobcats,Time Warner Cable Arena,False
1-19-2015,Houston Rockets,Toyota Center,False
1-21-2015,Atlanta Hawks,Philips Arena,False
1-23-2015,Miami Heat,AmericanAirlines Arena,False
1-25-2015,Orlando Magic,Amway Center,False
1-27-2015,Toronto Raptors,Bankers Life Fieldhouse,True
1-29-2015,New York Knicks,Bankers Life Fieldhouse,True
1-31-2015,Sacramento Kings,Bankers Life Fieldhouse,True
2-4-2015,Detroit Pistons,Bankers Life Fieldhouse,True
2-6-2015,Cleveland Cavaliers,Bankers Life Fieldhouse,True
2-8-2015,Charlotte Bobcats,Time Warner Cable Arena,False
2-9-2015,San-Antonio Spurs,Bankers Life Fieldhouse,True
2-11-2015,New Orleans Pelicans,New Orleans Arena,False
2-20-2015,Philadelphia 76ers,Wells Fargo Center,False
2-22-2015,Golden State Warriors,Bankers Life Fieldhouse,True
2-24-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
2-27-2015,Cleveland Cavaliers,Bankers Life Fieldhouse,True
3-1-2015,Philadelphia 76ers,Bankers Life Fieldhouse,True
3-4-2015,New York Knicks,Bankers Life Fieldhouse,True
3-6-2015,Chicago Bulls,Bankers Life Fieldhouse,True
3-7-2015,New York Knicks,Madison Square Garden,False
3-10-2015,Orlando Magic,Bankers Life Fieldhouse,True
3-12-2015,Milwaukee Bucks,Bankers Life Fieldhouse,True
3-14-2015,Boston Celtics,Bankers Life Fieldhouse,True
3-16-2015,Toronto Raptors,Bankers Life Fieldhouse,True
3-18-2015,Chicago Bulls,United Center,False
3-20-2015,Cleveland Cavaliers,Quicken Loans Arena,False
3-21-2015,Brooklyn Nets,Bankers Life Fieldhouse,True
3-23-2015,Houston Rockets,Bankers Life Fieldhouse,True
3-25-2015,Washington Wizards,Verizon Center,False
3-26-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
3-29-2015,Dallas Mavericks,Bankers Life Fieldhouse,True
3-31-2015,Brooklyn Nets,Barclays Center,False
4-1-2015,Boston Celtics,TD Garden,False
4-3-2015,Charlotte Bobcats,Bankers Life Fieldhouse,True
4-5-2015,Miami Heat,Bankers Life Fieldhouse,True
4-8-2015,New York Knicks,Madison Square Garden,False
4-10-2015,Detroit Pistons,The Palace of Auburn Hills,False
4-12-2015,Oklahoma City Thunder,Bankers Life Fieldhouse,True
4-14-2015,Washington Wizards,Bankers Life Fieldhouse,True
4-15-2015,Memphis Grizzlies,FedExForum,False
