DATE,OPPONENT,ARENA,HOME
10-30-2014,Oklahoma City Thunder,Staples Center,True
10-31-2014,Los Angeles Lakers,Staples Center,False
11-2-2014,Sacramento Kings,Staples Center,True
11-3-2014,Utah Jazz,Staples Center,True
11-5-2014,Golden State Warriors,Oracle Arena,False
11-8-2014,Portland Trail Blazers,Staples Center,True
11-10-2014,San-Antonio Spurs,Staples Center,True
11-15-2014,Phoenix Suns,Staples Center,True
11-17-2014,Chicago Bulls,Staples Center,True
11-19-2014,Orlando Magic,Amway Center,False
11-20-2014,Miami Heat,AmericanAirlines Arena,False
11-23-2014,Memphis Grizzlies,FedExForum,False
11-24-2014,Charlotte Bobcats,Time Warner Cable Arena,False
11-26-2014,Detroit Pistons,The Palace of Auburn Hills,False
11-28-2014,Houston Rockets,Toyota Center,False
11-29-2014,Utah Jazz,EnergySolutions Arena,False
12-1-2014,Minnesota Timberwolves,Staples Center,True
12-3-2014,Orlando Magic,Staples Center,True
12-6-2014,New Orleans Pelicans,Staples Center,True
12-8-2014,Phoenix Suns,Staples Center,True
12-10-2014,Indiana Pacers,Bankers Life Fieldhouse,False
12-12-2014,Washington Wizards,Verizon Center,False
12-13-2014,Milwaukee Bucks,BMO Harris Bradley Center,False
12-15-2014,Detroit Pistons,Staples Center,True
12-17-2014,Indiana Pacers,Staples Center,True
12-19-2014,Denver Nuggets,Pepsi Center,False
12-20-2014,Milwaukee Bucks,Staples Center,True
12-22-2014,San-Antonio Spurs,AT&T Center,False
12-23-2014,Atlanta Hawks,Philips Arena,False
12-25-2014,Golden State Warriors,Staples Center,True
12-27-2014,Toronto Raptors,Staples Center,True
12-29-2014,Utah Jazz,Staples Center,True
12-31-2014,New York Knicks,Staples Center,True
1-3-2015,Philadelphia 76ers,Staples Center,True
1-5-2015,Atlanta Hawks,Staples Center,True
1-7-2015,Los Angeles Lakers,Staples Center,True
1-10-2015,Dallas Mavericks,Staples Center,True
1-11-2015,Miami Heat,Staples Center,True
1-14-2015,Portland Trail Blazers,Moda Center,False
1-16-2015,Cleveland Cavaliers,Staples Center,True
1-17-2015,Sacramento Kings,Sleep Train Arena,False
1-19-2015,Boston Celtics,Staples Center,True
1-22-2015,Brooklyn Nets,Staples Center,True
1-25-2015,Phoenix Suns,US Airways Center,False
1-26-2015,Denver Nuggets,Staples Center,True
1-28-2015,Utah Jazz,EnergySolutions Arena,False
1-30-2015,New Orleans Pelicans,New Orleans Arena,False
1-31-2015,San-Antonio Spurs,AT&T Center,False
2-2-2015,Brooklyn Nets,Barclays Center,False
2-5-2015,Cleveland Cavaliers,Quicken Loans Arena,False
2-6-2015,Toronto Raptors,Air Canada Centre,False
2-8-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
2-9-2015,Dallas Mavericks,American Airlines Center,False
2-11-2015,Houston Rockets,Staples Center,True
2-19-2015,San-Antonio Spurs,Staples Center,True
2-21-2015,Sacramento Kings,Staples Center,True
2-23-2015,Memphis Grizzlies,Staples Center,True
2-25-2015,Houston Rockets,Toyota Center,False
2-27-2015,Memphis Grizzlies,FedExForum,False
3-1-2015,Chicago Bulls,United Center,False
3-2-2015,Minnesota Timberwolves,Target Center,False
3-4-2015,Portland Trail Blazers,Staples Center,True
3-8-2015,Golden State Warriors,Oracle Arena,False
3-9-2015,Minnesota Timberwolves,Staples Center,True
3-11-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
3-13-2015,Dallas Mavericks,American Airlines Center,False
3-15-2015,Houston Rockets,Staples Center,True
3-17-2015,Charlotte Bobcats,Staples Center,True
3-18-2015,Sacramento Kings,Sleep Train Arena,False
3-20-2015,Washington Wizards,Staples Center,True
3-22-2015,New Orleans Pelicans,Staples Center,True
3-25-2015,New York Knicks,Madison Square Garden,False
3-27-2015,Philadelphia 76ers,Wells Fargo Center,False
3-29-2015,Boston Celtics,TD Garden,False
3-31-2015,Golden State Warriors,Staples Center,True
4-1-2015,Portland Trail Blazers,Moda Center,False
4-4-2015,Denver Nuggets,Pepsi Center,False
4-5-2015,Los Angeles Lakers,Staples Center,False
4-7-2015,Los Angeles Lakers,Staples Center,True
4-11-2015,Memphis Grizzlies,Staples Center,True
4-13-2015,Denver Nuggets,Staples Center,True
4-14-2015,Phoenix Suns,US Airways Center,False
