DATE,OPPONENT,ARENA,HOME
10-29-2014,Minnesota Timberwolves,FedExForum,True
10-31-2014,Indiana Pacers,Bankers Life Fieldhouse,False
11-1-2014,Charlotte Bobcats,Time Warner Cable Arena,False
11-3-2014,New Orleans Pelicans,FedExForum,True
11-5-2014,Phoenix Suns,US Airways Center,False
11-7-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
11-8-2014,Milwaukee Bucks,BMO Harris Bradley Center,False
11-11-2014,Los Angeles Lakers,FedExForum,True
11-13-2014,Sacramento Kings,FedExForum,True
11-15-2014,Detroit Pistons,FedExForum,True
11-17-2014,Houston Rockets,FedExForum,True
11-19-2014,Toronto Raptors,Air Canada Centre,False
11-21-2014,Boston Celtics,FedExForum,True
11-23-2014,Los Angeles Clippers,FedExForum,True
11-26-2014,Los Angeles Lakers,Staples Center,False
11-28-2014,Portland Trail Blazers,Moda Center,False
11-30-2014,Sacramento Kings,Sleep Train Arena,False
12-3-2014,Houston Rockets,Toyota Center,False
12-5-2014,San-Antonio Spurs,FedExForum,True
12-7-2014,Miami Heat,FedExForum,True
12-9-2014,Dallas Mavericks,FedExForum,True
12-12-2014,Charlotte Bobcats,FedExForum,True
12-13-2014,Philadelphia 76ers,Wells Fargo Center,False
12-16-2014,Golden State Warriors,FedExForum,True
12-17-2014,San-Antonio Spurs,AT&T Center,False
12-19-2014,Chicago Bulls,FedExForum,True
12-21-2014,Cleveland Cavaliers,Quicken Loans Arena,False
12-22-2014,Utah Jazz,FedExForum,True
12-26-2014,Houston Rockets,FedExForum,True
12-27-2014,Miami Heat,AmericanAirlines Arena,False
12-30-2014,San-Antonio Spurs,FedExForum,True
1-2-2015,Los Angeles Lakers,Staples Center,False
1-3-2015,Denver Nuggets,Pepsi Center,False
1-5-2015,New York Knicks,FedExForum,True
1-7-2015,Atlanta Hawks,Philips Arena,False
1-9-2015,New Orleans Pelicans,New Orleans Arena,False
1-11-2015,Phoenix Suns,FedExForum,True
1-14-2015,Brooklyn Nets,Barclays Center,False
1-16-2015,Orlando Magic,Amway Center,False
1-17-2015,Portland Trail Blazers,FedExForum,True
1-19-2015,Dallas Mavericks,FedExForum,True
1-21-2015,Toronto Raptors,FedExForum,True
1-24-2015,Philadelphia 76ers,FedExForum,True
1-26-2015,Orlando Magic,FedExForum,True
1-27-2015,Dallas Mavericks,American Airlines Center,False
1-29-2015,Denver Nuggets,FedExForum,True
1-31-2015,Oklahoma City Thunder,FedExForum,True
2-2-2015,Phoenix Suns,US Airways Center,False
2-4-2015,Utah Jazz,EnergySolutions Arena,False
2-6-2015,Minnesota Timberwolves,Target Center,False
2-8-2015,Atlanta Hawks,FedExForum,True
2-10-2015,Brooklyn Nets,FedExForum,True
2-11-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
2-22-2015,Portland Trail Blazers,Moda Center,False
2-23-2015,Los Angeles Clippers,Staples Center,False
2-25-2015,Sacramento Kings,Sleep Train Arena,False
2-27-2015,Los Angeles Clippers,FedExForum,True
2-28-2015,Minnesota Timberwolves,Target Center,False
3-3-2015,Utah Jazz,FedExForum,True
3-4-2015,Houston Rockets,Toyota Center,False
3-6-2015,Los Angeles Lakers,FedExForum,True
3-7-2015,New Orleans Pelicans,New Orleans Arena,False
3-9-2015,Chicago Bulls,United Center,False
3-11-2015,Boston Celtics,TD Garden,False
3-12-2015,Washington Wizards,Verizon Center,False
3-14-2015,Milwaukee Bucks,FedExForum,True
3-16-2015,Denver Nuggets,FedExForum,True
3-17-2015,Detroit Pistons,The Palace of Auburn Hills,False
3-20-2015,Dallas Mavericks,American Airlines Center,False
3-21-2015,Portland Trail Blazers,FedExForum,True
3-23-2015,New York Knicks,Madison Square Garden,False
3-25-2015,Cleveland Cavaliers,FedExForum,True
3-27-2015,Golden State Warriors,FedExForum,True
3-29-2015,San-Antonio Spurs,AT&T Center,False
3-30-2015,Sacramento Kings,FedExForum,True
4-3-2015,Oklahoma City Thunder,FedExForum,True
4-4-2015,Washington Wizards,FedExForum,True
4-8-2015,New Orleans Pelicans,FedExForum,True
4-10-2015,Utah Jazz,EnergySolutions Arena,False
4-11-2015,Los Angeles Clippers,Staples Center,False
4-13-2015,Golden State Warriors,Oracle Arena,False
4-15-2015,Indiana Pacers,FedExForum,True
