DATE,OPPONENT,ARENA,HOME
10-29-2014,Washington Wizards,AmericanAirlines Arena,True
11-1-2014,Philadelphia 76ers,Wells Fargo Center,False
11-2-2014,Toronto Raptors,AmericanAirlines Arena,True
11-4-2014,Houston Rockets,AmericanAirlines Arena,True
11-5-2014,Charlotte Bobcats,Time Warner Cable Arena,False
11-8-2014,Minnesota Timberwolves,AmericanAirlines Arena,True
11-9-2014,Dallas Mavericks,American Airlines Center,False
11-12-2014,Indiana Pacers,AmericanAirlines Arena,True
11-14-2014,Atlanta Hawks,Philips Arena,False
11-16-2014,Milwaukee Bucks,AmericanAirlines Arena,True
11-17-2014,Brooklyn Nets,Barclays Center,False
11-20-2014,Los Angeles Clippers,AmericanAirlines Arena,True
11-22-2014,Orlando Magic,Amway Center,False
11-23-2014,Charlotte Bobcats,AmericanAirlines Arena,True
11-25-2014,Golden State Warriors,AmericanAirlines Arena,True
11-30-2014,New York Knicks,Madison Square Garden,False
12-1-2014,Washington Wizards,Verizon Center,False
12-3-2014,Atlanta Hawks,AmericanAirlines Arena,True
12-5-2014,Milwaukee Bucks,BMO Harris Bradley Center,False
12-7-2014,Memphis Grizzlies,FedExForum,False
12-9-2014,Phoenix Suns,US Airways Center,False
12-10-2014,Denver Nuggets,Pepsi Center,False
12-12-2014,Utah Jazz,EnergySolutions Arena,False
12-14-2014,Chicago Bulls,AmericanAirlines Arena,True
12-16-2014,Brooklyn Nets,Barclays Center,False
12-17-2014,Utah Jazz,AmericanAirlines Arena,True
12-19-2014,Washington Wizards,AmericanAirlines Arena,True
12-21-2014,Boston Celtics,AmericanAirlines Arena,True
12-23-2014,Philadelphia 76ers,AmericanAirlines Arena,True
12-25-2014,Cleveland Cavaliers,AmericanAirlines Arena,True
12-27-2014,Memphis Grizzlies,AmericanAirlines Arena,True
12-29-2014,Orlando Magic,AmericanAirlines Arena,True
12-31-2014,Indiana Pacers,Bankers Life Fieldhouse,False
1-3-2015,Houston Rockets,Toyota Center,False
1-4-2015,Brooklyn Nets,AmericanAirlines Arena,True
1-8-2015,Portland Trail Blazers,Moda Center,False
1-11-2015,Los Angeles Clippers,Staples Center,False
1-13-2015,Los Angeles Lakers,Staples Center,False
1-14-2015,Golden State Warriors,Oracle Arena,False
1-16-2015,Sacramento Kings,Sleep Train Arena,False
1-20-2015,Oklahoma City Thunder,AmericanAirlines Arena,True
1-21-2015,Charlotte Bobcats,Time Warner Cable Arena,False
1-23-2015,Indiana Pacers,AmericanAirlines Arena,True
1-25-2015,Chicago Bulls,United Center,False
1-27-2015,Milwaukee Bucks,AmericanAirlines Arena,True
1-30-2015,Dallas Mavericks,AmericanAirlines Arena,True
2-1-2015,Boston Celtics,TD Garden,False
2-3-2015,Detroit Pistons,The Palace of Auburn Hills,False
2-4-2015,Minnesota Timberwolves,Target Center,False
2-6-2015,San-Antonio Spurs,AT&T Center,False
2-9-2015,New York Knicks,AmericanAirlines Arena,True
2-11-2015,Cleveland Cavaliers,Quicken Loans Arena,False
2-20-2015,New York Knicks,Madison Square Garden,False
2-21-2015,New Orleans Pelicans,AmericanAirlines Arena,True
2-23-2015,Philadelphia 76ers,AmericanAirlines Arena,True
2-25-2015,Orlando Magic,Amway Center,False
2-27-2015,New Orleans Pelicans,New Orleans Arena,False
2-28-2015,Atlanta Hawks,AmericanAirlines Arena,True
3-2-2015,Phoenix Suns,AmericanAirlines Arena,True
3-4-2015,Los Angeles Lakers,AmericanAirlines Arena,True
3-6-2015,Washington Wizards,Verizon Center,False
3-7-2015,Sacramento Kings,AmericanAirlines Arena,True
3-9-2015,Boston Celtics,AmericanAirlines Arena,True
3-11-2015,Brooklyn Nets,AmericanAirlines Arena,True
3-13-2015,Toronto Raptors,Air Canada Centre,False
3-16-2015,Cleveland Cavaliers,AmericanAirlines Arena,True
3-18-2015,Portland Trail Blazers,AmericanAirlines Arena,True
3-20-2015,Denver Nuggets,AmericanAirlines Arena,True
3-22-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
3-24-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
3-25-2015,Boston Celtics,TD Garden,False
3-27-2015,Atlanta Hawks,Philips Arena,False
3-29-2015,Detroit Pistons,AmericanAirlines Arena,True
3-31-2015,San-Antonio Spurs,AmericanAirlines Arena,True
4-2-2015,Cleveland Cavaliers,Quicken Loans Arena,False
4-4-2015,Detroit Pistons,The Palace of Auburn Hills,False
4-5-2015,Indiana Pacers,Bankers Life Fieldhouse,False
4-7-2015,Charlotte Bobcats,AmericanAirlines Arena,True
4-9-2015,Chicago Bulls,AmericanAirlines Arena,True
4-11-2015,Toronto Raptors,AmericanAirlines Arena,True
4-13-2015,Orlando Magic,AmericanAirlines Arena,True
4-15-2015,Philadelphia 76ers,Wells Fargo Center,False
