DATE,OPPONENT,ARENA,HOME
10-29-2014,Charlotte Bobcats,Time Warner Cable Arena,False
10-31-2014,Philadelphia 76ers,BMO Harris Bradley Center,True
11-1-2014,Washington Wizards,Verizon Center,False
11-4-2014,Indiana Pacers,Bankers Life Fieldhouse,False
11-5-2014,Chicago Bulls,BMO Harris Bradley Center,True
11-7-2014,Detroit Pistons,The Palace of Auburn Hills,False
11-8-2014,Memphis Grizzlies,BMO Harris Bradley Center,True
11-11-2014,Oklahoma City Thunder,BMO Harris Bradley Center,True
11-14-2014,Orlando Magic,Amway Center,False
11-16-2014,Miami Heat,AmericanAirlines Arena,False
11-18-2014,New York Knicks,BMO Harris Bradley Center,True
11-19-2014,Brooklyn Nets,Barclays Center,False
11-21-2014,Toronto Raptors,Air Canada Centre,False
11-22-2014,Washington Wizards,BMO Harris Bradley Center,True
11-25-2014,Detroit Pistons,BMO Harris Bradley Center,True
11-26-2014,Minnesota Timberwolves,Target Center,False
11-28-2014,Detroit Pistons,The Palace of Auburn Hills,False
11-29-2014,Houston Rockets,BMO Harris Bradley Center,True
12-2-2014,Cleveland Cavaliers,Quicken Loans Arena,False
12-3-2014,Dallas Mavericks,BMO Harris Bradley Center,True
12-5-2014,Miami Heat,BMO Harris Bradley Center,True
12-7-2014,Dallas Mavericks,American Airlines Center,False
12-9-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
12-13-2014,Los Angeles Clippers,BMO Harris Bradley Center,True
12-15-2014,Phoenix Suns,US Airways Center,False
12-17-2014,Portland Trail Blazers,Moda Center,False
12-18-2014,Sacramento Kings,Sleep Train Arena,False
12-20-2014,Los Angeles Clippers,Staples Center,False
12-23-2014,Charlotte Bobcats,BMO Harris Bradley Center,True
12-26-2014,Atlanta Hawks,Philips Arena,False
12-27-2014,Atlanta Hawks,BMO Harris Bradley Center,True
12-29-2014,Charlotte Bobcats,Time Warner Cable Arena,False
12-31-2014,Cleveland Cavaliers,Quicken Loans Arena,False
1-2-2015,Indiana Pacers,BMO Harris Bradley Center,True
1-4-2015,New York Knicks,Madison Square Garden,False
1-6-2015,Phoenix Suns,BMO Harris Bradley Center,True
1-7-2015,Philadelphia 76ers,Wells Fargo Center,False
1-9-2015,Minnesota Timberwolves,BMO Harris Bradley Center,True
1-10-2015,Chicago Bulls,United Center,False
1-15-2015,New York Knicks,BMO Harris Bradley Center,True
1-19-2015,Toronto Raptors,BMO Harris Bradley Center,True
1-22-2015,Utah Jazz,BMO Harris Bradley Center,True
1-24-2015,Detroit Pistons,BMO Harris Bradley Center,True
1-25-2015,San-Antonio Spurs,AT&T Center,False
1-27-2015,Miami Heat,AmericanAirlines Arena,False
1-29-2015,Orlando Magic,Amway Center,False
1-31-2015,Portland Trail Blazers,BMO Harris Bradley Center,True
2-2-2015,Toronto Raptors,Air Canada Centre,False
2-4-2015,Los Angeles Lakers,BMO Harris Bradley Center,True
2-6-2015,Houston Rockets,Toyota Center,False
2-7-2015,Boston Celtics,BMO Harris Bradley Center,True
2-9-2015,Brooklyn Nets,BMO Harris Bradley Center,True
2-11-2015,Sacramento Kings,BMO Harris Bradley Center,True
2-20-2015,Denver Nuggets,BMO Harris Bradley Center,True
2-22-2015,Atlanta Hawks,BMO Harris Bradley Center,True
2-23-2015,Chicago Bulls,United Center,False
2-25-2015,Philadelphia 76ers,BMO Harris Bradley Center,True
2-27-2015,Los Angeles Lakers,Staples Center,False
2-28-2015,Utah Jazz,EnergySolutions Arena,False
3-3-2015,Denver Nuggets,Pepsi Center,False
3-4-2015,Golden State Warriors,Oracle Arena,False
3-7-2015,Washington Wizards,BMO Harris Bradley Center,True
3-9-2015,New Orleans Pelicans,BMO Harris Bradley Center,True
3-11-2015,Orlando Magic,BMO Harris Bradley Center,True
3-12-2015,Indiana Pacers,Bankers Life Fieldhouse,False
3-14-2015,Memphis Grizzlies,FedExForum,False
3-17-2015,New Orleans Pelicans,New Orleans Arena,False
3-18-2015,San-Antonio Spurs,BMO Harris Bradley Center,True
3-20-2015,Brooklyn Nets,Barclays Center,False
3-22-2015,Cleveland Cavaliers,BMO Harris Bradley Center,True
3-24-2015,Miami Heat,BMO Harris Bradley Center,True
3-26-2015,Indiana Pacers,BMO Harris Bradley Center,True
3-28-2015,Golden State Warriors,BMO Harris Bradley Center,True
3-30-2015,Atlanta Hawks,Philips Arena,False
4-1-2015,Chicago Bulls,BMO Harris Bradley Center,True
4-3-2015,Boston Celtics,TD Garden,False
4-4-2015,Orlando Magic,BMO Harris Bradley Center,True
4-8-2015,Cleveland Cavaliers,BMO Harris Bradley Center,True
4-10-2015,New York Knicks,Madison Square Garden,False
4-12-2015,Brooklyn Nets,BMO Harris Bradley Center,True
4-13-2015,Philadelphia 76ers,Wells Fargo Center,False
4-15-2015,Boston Celtics,BMO Harris Bradley Center,True
