DATE,OPPONENT,ARENA,HOME
10-29-2014,Memphis Grizzlies,FedExForum,False
10-30-2014,Detroit Pistons,Target Center,True
11-1-2014,Chicago Bulls,Target Center,True
11-5-2014,Brooklyn Nets,Barclays Center,False
11-7-2014,Orlando Magic,Amway Center,False
11-8-2014,Miami Heat,AmericanAirlines Arena,False
11-12-2014,Houston Rockets,Target Center,True
11-14-2014,New Orleans Pelicans,New Orleans Arena,False
11-15-2014,Dallas Mavericks,American Airlines Center,False
11-19-2014,New York Knicks,Target Center,True
11-21-2014,San-Antonio Spurs,Target Center,True
11-22-2014,Sacramento Kings,Target Center,True
11-26-2014,Milwaukee Bucks,Target Center,True
11-28-2014,Los Angeles Lakers,Staples Center,False
11-30-2014,Portland Trail Blazers,Moda Center,False
12-1-2014,Los Angeles Clippers,Staples Center,False
12-3-2014,Philadelphia 76ers,Target Center,True
12-5-2014,Houston Rockets,Target Center,True
12-6-2014,San-Antonio Spurs,AT&T Center,False
12-8-2014,Golden State Warriors,Target Center,True
12-10-2014,Portland Trail Blazers,Target Center,True
12-12-2014,Oklahoma City Thunder,Target Center,True
12-14-2014,Los Angeles Lakers,Target Center,True
12-16-2014,Washington Wizards,Verizon Center,False
12-19-2014,Boston Celtics,TD Garden,False
12-21-2014,Indiana Pacers,Target Center,True
12-23-2014,Cleveland Cavaliers,Quicken Loans Arena,False
12-26-2014,Denver Nuggets,Pepsi Center,False
12-27-2014,Golden State Warriors,Oracle Arena,False
12-30-2014,Utah Jazz,EnergySolutions Arena,False
1-1-2015,Sacramento Kings,Target Center,True
1-3-2015,Utah Jazz,Target Center,True
1-5-2015,Denver Nuggets,Target Center,True
1-7-2015,Phoenix Suns,Target Center,True
1-9-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
1-10-2015,San-Antonio Spurs,Target Center,True
1-13-2015,Indiana Pacers,Bankers Life Fieldhouse,False
1-16-2015,Phoenix Suns,US Airways Center,False
1-17-2015,Denver Nuggets,Pepsi Center,False
1-19-2015,Charlotte Bobcats,Time Warner Cable Arena,False
1-21-2015,Dallas Mavericks,Target Center,True
1-23-2015,New Orleans Pelicans,Target Center,True
1-25-2015,Atlanta Hawks,Philips Arena,False
1-26-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
1-28-2015,Boston Celtics,Target Center,True
1-30-2015,Philadelphia 76ers,Wells Fargo Center,False
1-31-2015,Cleveland Cavaliers,Target Center,True
2-2-2015,Dallas Mavericks,American Airlines Center,False
2-4-2015,Miami Heat,Target Center,True
2-6-2015,Memphis Grizzlies,Target Center,True
2-8-2015,Detroit Pistons,The Palace of Auburn Hills,False
2-9-2015,Atlanta Hawks,Target Center,True
2-11-2015,Golden State Warriors,Target Center,True
2-20-2015,Phoenix Suns,Target Center,True
2-23-2015,Houston Rockets,Toyota Center,False
2-25-2015,Washington Wizards,Target Center,True
2-27-2015,Chicago Bulls,United Center,False
2-28-2015,Memphis Grizzlies,Target Center,True
3-2-2015,Los Angeles Clippers,Target Center,True
3-4-2015,Denver Nuggets,Target Center,True
3-7-2015,Portland Trail Blazers,Target Center,True
3-9-2015,Los Angeles Clippers,Staples Center,False
3-11-2015,Phoenix Suns,US Airways Center,False
3-13-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
3-15-2015,San-Antonio Spurs,AT&T Center,False
3-16-2015,Brooklyn Nets,Target Center,True
3-18-2015,Toronto Raptors,Air Canada Centre,False
3-19-2015,New York Knicks,Madison Square Garden,False
3-22-2015,Charlotte Bobcats,Target Center,True
3-23-2015,Utah Jazz,EnergySolutions Arena,False
3-25-2015,Los Angeles Lakers,Target Center,True
3-27-2015,Houston Rockets,Toyota Center,False
3-29-2015,New Orleans Pelicans,New Orleans Arena,False
3-30-2015,Utah Jazz,Target Center,True
4-1-2015,Toronto Raptors,Target Center,True
4-3-2015,Orlando Magic,Target Center,True
4-7-2015,Sacramento Kings,Sleep Train Arena,False
4-8-2015,Portland Trail Blazers,Moda Center,False
4-10-2015,Los Angeles Lakers,Staples Center,False
4-11-2015,Golden State Warriors,Oracle Arena,False
4-13-2015,New Orleans Pelicans,Target Center,True
4-15-2015,Oklahoma City Thunder,Target Center,True
