DATE,OPPONENT,ARENA,HOME
10-28-2014,Orlando Magic,New Orleans Arena,True
11-1-2014,Dallas Mavericks,New Orleans Arena,True
11-3-2014,Memphis Grizzlies,FedExForum,False
11-4-2014,Charlotte Bobcats,New Orleans Arena,True
11-8-2014,San-Antonio Spurs,AT&T Center,False
11-10-2014,Cleveland Cavaliers,Quicken Loans Arena,False
11-12-2014,Los Angeles Lakers,New Orleans Arena,True
11-14-2014,Minnesota Timberwolves,New Orleans Arena,True
11-17-2014,Portland Trail Blazers,Moda Center,False
11-18-2014,Sacramento Kings,Sleep Train Arena,False
11-21-2014,Denver Nuggets,Pepsi Center,False
11-22-2014,Utah Jazz,EnergySolutions Arena,False
11-25-2014,Sacramento Kings,New Orleans Arena,True
11-28-2014,Atlanta Hawks,Philips Arena,False
11-29-2014,Washington Wizards,Verizon Center,False
12-2-2014,Oklahoma City Thunder,New Orleans Arena,True
12-4-2014,Golden State Warriors,Oracle Arena,False
12-6-2014,Los Angeles Clippers,Staples Center,False
12-7-2014,Los Angeles Lakers,Staples Center,False
12-9-2014,New York Knicks,New Orleans Arena,True
12-10-2014,Dallas Mavericks,American Airlines Center,False
12-12-2014,Cleveland Cavaliers,New Orleans Arena,True
12-14-2014,Golden State Warriors,New Orleans Arena,True
12-16-2014,Utah Jazz,New Orleans Arena,True
12-18-2014,Houston Rockets,Toyota Center,False
12-20-2014,Portland Trail Blazers,New Orleans Arena,True
12-21-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
12-23-2014,Indiana Pacers,Bankers Life Fieldhouse,False
12-26-2014,San-Antonio Spurs,New Orleans Arena,True
12-27-2014,Chicago Bulls,United Center,False
12-30-2014,Phoenix Suns,New Orleans Arena,True
12-31-2014,San-Antonio Spurs,AT&T Center,False
1-2-2015,Houston Rockets,New Orleans Arena,True
1-5-2015,Washington Wizards,New Orleans Arena,True
1-7-2015,Charlotte Bobcats,Time Warner Cable Arena,False
1-9-2015,Memphis Grizzlies,New Orleans Arena,True
1-12-2015,Boston Celtics,TD Garden,False
1-14-2015,Detroit Pistons,The Palace of Auburn Hills,False
1-16-2015,Philadelphia 76ers,Wells Fargo Center,False
1-18-2015,Toronto Raptors,Air Canada Centre,False
1-19-2015,New York Knicks,Madison Square Garden,False
1-21-2015,Los Angeles Lakers,New Orleans Arena,True
1-23-2015,Minnesota Timberwolves,Target Center,False
1-25-2015,Dallas Mavericks,New Orleans Arena,True
1-26-2015,Philadelphia 76ers,New Orleans Arena,True
1-28-2015,Denver Nuggets,New Orleans Arena,True
1-30-2015,Los Angeles Clippers,New Orleans Arena,True
2-2-2015,Atlanta Hawks,New Orleans Arena,True
2-4-2015,Oklahoma City Thunder,New Orleans Arena,True
2-6-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
2-7-2015,Chicago Bulls,New Orleans Arena,True
2-9-2015,Utah Jazz,New Orleans Arena,True
2-11-2015,Indiana Pacers,New Orleans Arena,True
2-20-2015,Orlando Magic,Amway Center,False
2-21-2015,Miami Heat,AmericanAirlines Arena,False
2-23-2015,Toronto Raptors,New Orleans Arena,True
2-25-2015,Brooklyn Nets,New Orleans Arena,True
2-27-2015,Miami Heat,New Orleans Arena,True
3-1-2015,Denver Nuggets,Pepsi Center,False
3-2-2015,Dallas Mavericks,American Airlines Center,False
3-4-2015,Detroit Pistons,New Orleans Arena,True
3-6-2015,Boston Celtics,New Orleans Arena,True
3-7-2015,Memphis Grizzlies,New Orleans Arena,True
3-9-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
3-10-2015,Brooklyn Nets,Barclays Center,False
3-15-2015,Denver Nuggets,New Orleans Arena,True
3-17-2015,Milwaukee Bucks,New Orleans Arena,True
3-19-2015,Phoenix Suns,US Airways Center,False
3-20-2015,Golden State Warriors,Oracle Arena,False
3-22-2015,Los Angeles Clippers,Staples Center,False
3-25-2015,Houston Rockets,New Orleans Arena,True
3-27-2015,Sacramento Kings,New Orleans Arena,True
3-29-2015,Minnesota Timberwolves,New Orleans Arena,True
4-1-2015,Los Angeles Lakers,Staples Center,False
4-3-2015,Sacramento Kings,Sleep Train Arena,False
4-4-2015,Portland Trail Blazers,Moda Center,False
4-7-2015,Golden State Warriors,New Orleans Arena,True
4-8-2015,Memphis Grizzlies,FedExForum,False
4-10-2015,Phoenix Suns,New Orleans Arena,True
4-12-2015,Houston Rockets,Toyota Center,False
4-13-2015,Minnesota Timberwolves,Target Center,False
4-15-2015,San-Antonio Spurs,New Orleans Arena,True
