DATE,OPPONENT,ARENA,HOME
10-29-2014,Chicago Bulls,Madison Square Garden,True
10-30-2014,Cleveland Cavaliers,Quicken Loans Arena,False
11-2-2014,Charlotte Bobcats,Madison Square Garden,True
11-4-2014,Washington Wizards,Madison Square Garden,True
11-5-2014,Detroit Pistons,The Palace of Auburn Hills,False
11-7-2014,Brooklyn Nets,Barclays Center,False
11-8-2014,Atlanta Hawks,Philips Arena,False
11-10-2014,Atlanta Hawks,Madison Square Garden,True
11-12-2014,Orlando Magic,Madison Square Garden,True
11-14-2014,Utah Jazz,Madison Square Garden,True
11-16-2014,Denver Nuggets,Madison Square Garden,True
11-18-2014,Milwaukee Bucks,BMO Harris Bradley Center,False
11-19-2014,Minnesota Timberwolves,Target Center,False
11-22-2014,Philadelphia 76ers,Madison Square Garden,True
11-24-2014,Houston Rockets,Toyota Center,False
11-26-2014,Dallas Mavericks,American Airlines Center,False
11-28-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
11-30-2014,Miami Heat,Madison Square Garden,True
12-2-2014,Brooklyn Nets,Madison Square Garden,True
12-4-2014,Cleveland Cavaliers,Madison Square Garden,True
12-5-2014,Charlotte Bobcats,Time Warner Cable Arena,False
12-7-2014,Portland Trail Blazers,Madison Square Garden,True
12-9-2014,New Orleans Pelicans,New Orleans Arena,False
12-10-2014,San-Antonio Spurs,AT&T Center,False
12-12-2014,Boston Celtics,TD Garden,False
12-14-2014,Toronto Raptors,Madison Square Garden,True
12-16-2014,Dallas Mavericks,Madison Square Garden,True
12-18-2014,Chicago Bulls,United Center,False
12-20-2014,Phoenix Suns,Madison Square Garden,True
12-21-2014,Toronto Raptors,Air Canada Centre,False
12-25-2014,Washington Wizards,Madison Square Garden,True
12-27-2014,Sacramento Kings,Sleep Train Arena,False
12-28-2014,Portland Trail Blazers,Moda Center,False
12-31-2014,Los Angeles Clippers,Staples Center,False
1-2-2015,Detroit Pistons,Madison Square Garden,True
1-4-2015,Milwaukee Bucks,Madison Square Garden,True
1-5-2015,Memphis Grizzlies,FedExForum,False
1-7-2015,Washington Wizards,Verizon Center,False
1-8-2015,Houston Rockets,Madison Square Garden,True
1-10-2015,Charlotte Bobcats,Madison Square Garden,True
1-15-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
1-19-2015,New Orleans Pelicans,Madison Square Garden,True
1-21-2015,Philadelphia 76ers,Wells Fargo Center,False
1-23-2015,Orlando Magic,Madison Square Garden,True
1-24-2015,Charlotte Bobcats,Time Warner Cable Arena,False
1-26-2015,Sacramento Kings,Madison Square Garden,True
1-28-2015,Oklahoma City Thunder,Madison Square Garden,True
1-29-2015,Indiana Pacers,Bankers Life Fieldhouse,False
2-1-2015,Los Angeles Lakers,Madison Square Garden,True
2-3-2015,Boston Celtics,Madison Square Garden,True
2-6-2015,Brooklyn Nets,Barclays Center,False
2-7-2015,Golden State Warriors,Madison Square Garden,True
2-9-2015,Miami Heat,AmericanAirlines Arena,False
2-11-2015,Orlando Magic,Amway Center,False
2-20-2015,Miami Heat,Madison Square Garden,True
2-22-2015,Cleveland Cavaliers,Madison Square Garden,True
2-25-2015,Boston Celtics,TD Garden,False
2-27-2015,Detroit Pistons,The Palace of Auburn Hills,False
2-28-2015,Toronto Raptors,Madison Square Garden,True
3-4-2015,Indiana Pacers,Bankers Life Fieldhouse,False
3-7-2015,Indiana Pacers,Madison Square Garden,True
3-9-2015,Denver Nuggets,Pepsi Center,False
3-10-2015,Utah Jazz,EnergySolutions Arena,False
3-12-2015,Los Angeles Lakers,Staples Center,False
3-14-2015,Golden State Warriors,Oracle Arena,False
3-15-2015,Phoenix Suns,US Airways Center,False
3-17-2015,San-Antonio Spurs,Madison Square Garden,True
3-19-2015,Minnesota Timberwolves,Madison Square Garden,True
3-20-2015,Philadelphia 76ers,Wells Fargo Center,False
3-22-2015,Toronto Raptors,Air Canada Centre,False
3-23-2015,Memphis Grizzlies,Madison Square Garden,True
3-25-2015,Los Angeles Clippers,Madison Square Garden,True
3-27-2015,Boston Celtics,Madison Square Garden,True
3-28-2015,Chicago Bulls,United Center,False
4-1-2015,Brooklyn Nets,Madison Square Garden,True
4-3-2015,Washington Wizards,Verizon Center,False
4-5-2015,Philadelphia 76ers,Madison Square Garden,True
4-8-2015,Indiana Pacers,Madison Square Garden,True
4-10-2015,Milwaukee Bucks,Madison Square Garden,True
4-11-2015,Orlando Magic,Amway Center,False
4-13-2015,Atlanta Hawks,Philips Arena,False
4-15-2015,Detroit Pistons,Madison Square Garden,True
