DATE,OPPONENT,ARENA,HOME
10-29-2014,Portland Trail Blazers,Moda Center,False
10-30-2014,Los Angeles Clippers,Staples Center,False
11-1-2014,Denver Nuggets,Chesapeake Energy Arena,True
11-3-2014,Brooklyn Nets,Barclays Center,False
11-4-2014,Toronto Raptors,Air Canada Centre,False
11-7-2014,Memphis Grizzlies,Chesapeake Energy Arena,True
11-9-2014,Sacramento Kings,Chesapeake Energy Arena,True
11-11-2014,Milwaukee Bucks,BMO Harris Bradley Center,False
11-12-2014,Boston Celtics,TD Garden,False
11-14-2014,Detroit Pistons,Chesapeake Energy Arena,True
11-16-2014,Houston Rockets,Chesapeake Energy Arena,True
11-18-2014,Utah Jazz,EnergySolutions Arena,False
11-19-2014,Denver Nuggets,Pepsi Center,False
11-21-2014,Brooklyn Nets,Chesapeake Energy Arena,True
11-23-2014,Golden State Warriors,Chesapeake Energy Arena,True
11-26-2014,Utah Jazz,Chesapeake Energy Arena,True
11-28-2014,New York Knicks,Chesapeake Energy Arena,True
12-2-2014,New Orleans Pelicans,New Orleans Arena,False
12-5-2014,Philadelphia 76ers,Wells Fargo Center,False
12-7-2014,Detroit Pistons,The Palace of Auburn Hills,False
12-9-2014,Milwaukee Bucks,Chesapeake Energy Arena,True
12-11-2014,Cleveland Cavaliers,Chesapeake Energy Arena,True
12-12-2014,Minnesota Timberwolves,Target Center,False
12-14-2014,Phoenix Suns,Chesapeake Energy Arena,True
12-16-2014,Sacramento Kings,Sleep Train Arena,False
12-18-2014,Golden State Warriors,Oracle Arena,False
12-19-2014,Los Angeles Lakers,Staples Center,False
12-21-2014,New Orleans Pelicans,Chesapeake Energy Arena,True
12-23-2014,Portland Trail Blazers,Chesapeake Energy Arena,True
12-25-2014,San-Antonio Spurs,AT&T Center,False
12-26-2014,Charlotte Bobcats,Chesapeake Energy Arena,True
12-28-2014,Dallas Mavericks,American Airlines Center,False
12-31-2014,Phoenix Suns,Chesapeake Energy Arena,True
1-2-2015,Washington Wizards,Chesapeake Energy Arena,True
1-5-2015,Golden State Warriors,Oracle Arena,False
1-7-2015,Sacramento Kings,Sleep Train Arena,False
1-9-2015,Utah Jazz,Chesapeake Energy Arena,True
1-15-2015,Houston Rockets,Toyota Center,False
1-16-2015,Golden State Warriors,Chesapeake Energy Arena,True
1-18-2015,Orlando Magic,Amway Center,False
1-20-2015,Miami Heat,AmericanAirlines Arena,False
1-21-2015,Washington Wizards,Verizon Center,False
1-23-2015,Atlanta Hawks,Philips Arena,False
1-25-2015,Cleveland Cavaliers,Quicken Loans Arena,False
1-26-2015,Minnesota Timberwolves,Chesapeake Energy Arena,True
1-28-2015,New York Knicks,Madison Square Garden,False
1-31-2015,Memphis Grizzlies,FedExForum,False
2-2-2015,Orlando Magic,Chesapeake Energy Arena,True
2-4-2015,New Orleans Pelicans,New Orleans Arena,False
2-6-2015,New Orleans Pelicans,Chesapeake Energy Arena,True
2-8-2015,Los Angeles Clippers,Chesapeake Energy Arena,True
2-9-2015,Denver Nuggets,Pepsi Center,False
2-11-2015,Memphis Grizzlies,Chesapeake Energy Arena,True
2-19-2015,Dallas Mavericks,Chesapeake Energy Arena,True
2-21-2015,Charlotte Bobcats,Time Warner Cable Arena,False
2-22-2015,Denver Nuggets,Chesapeake Energy Arena,True
2-24-2015,Indiana Pacers,Chesapeake Energy Arena,True
2-26-2015,Phoenix Suns,US Airways Center,False
2-27-2015,Portland Trail Blazers,Moda Center,False
3-1-2015,Los Angeles Lakers,Staples Center,False
3-4-2015,Philadelphia 76ers,Chesapeake Energy Arena,True
3-5-2015,Chicago Bulls,United Center,False
3-8-2015,Toronto Raptors,Chesapeake Energy Arena,True
3-11-2015,Los Angeles Clippers,Chesapeake Energy Arena,True
3-13-2015,Minnesota Timberwolves,Chesapeake Energy Arena,True
3-15-2015,Chicago Bulls,Chesapeake Energy Arena,True
3-16-2015,Dallas Mavericks,American Airlines Center,False
3-18-2015,Boston Celtics,Chesapeake Energy Arena,True
3-20-2015,Atlanta Hawks,Chesapeake Energy Arena,True
3-22-2015,Miami Heat,Chesapeake Energy Arena,True
3-24-2015,Los Angeles Lakers,Chesapeake Energy Arena,True
3-25-2015,San-Antonio Spurs,AT&T Center,False
3-28-2015,Utah Jazz,EnergySolutions Arena,False
3-29-2015,Phoenix Suns,US Airways Center,False
4-1-2015,Dallas Mavericks,Chesapeake Energy Arena,True
4-3-2015,Memphis Grizzlies,FedExForum,False
4-5-2015,Houston Rockets,Chesapeake Energy Arena,True
4-7-2015,San-Antonio Spurs,Chesapeake Energy Arena,True
4-10-2015,Sacramento Kings,Chesapeake Energy Arena,True
4-12-2015,Indiana Pacers,Bankers Life Fieldhouse,False
4-13-2015,Portland Trail Blazers,Chesapeake Energy Arena,True
4-15-2015,Minnesota Timberwolves,Target Center,False
