DATE,OPPONENT,ARENA,HOME
10-28-2014,New Orleans Pelicans,New Orleans Arena,False
10-30-2014,Washington Wizards,Amway Center,True
11-1-2014,Toronto Raptors,Amway Center,True
11-4-2014,Chicago Bulls,United Center,False
11-5-2014,Philadelphia 76ers,Wells Fargo Center,False
11-7-2014,Minnesota Timberwolves,Amway Center,True
11-9-2014,Brooklyn Nets,Barclays Center,False
11-11-2014,Toronto Raptors,Air Canada Centre,False
11-12-2014,New York Knicks,Madison Square Garden,False
11-14-2014,Milwaukee Bucks,Amway Center,True
11-15-2014,Washington Wizards,Verizon Center,False
11-17-2014,Detroit Pistons,The Palace of Auburn Hills,False
11-19-2014,Los Angeles Clippers,Amway Center,True
11-21-2014,Charlotte Bobcats,Time Warner Cable Arena,False
11-22-2014,Miami Heat,Amway Center,True
11-24-2014,Cleveland Cavaliers,Quicken Loans Arena,False
11-26-2014,Golden State Warriors,Amway Center,True
11-28-2014,Indiana Pacers,Bankers Life Fieldhouse,False
11-30-2014,Phoenix Suns,US Airways Center,False
12-2-2014,Golden State Warriors,Oracle Arena,False
12-3-2014,Los Angeles Clippers,Staples Center,False
12-5-2014,Utah Jazz,EnergySolutions Arena,False
12-6-2014,Sacramento Kings,Sleep Train Arena,False
12-10-2014,Washington Wizards,Amway Center,True
12-12-2014,Atlanta Hawks,Philips Arena,False
12-13-2014,Atlanta Hawks,Amway Center,True
12-15-2014,Toronto Raptors,Air Canada Centre,False
12-17-2014,Boston Celtics,TD Garden,False
12-19-2014,Utah Jazz,Amway Center,True
12-21-2014,Philadelphia 76ers,Amway Center,True
12-23-2014,Boston Celtics,Amway Center,True
12-26-2014,Cleveland Cavaliers,Amway Center,True
12-27-2014,Charlotte Bobcats,Time Warner Cable Arena,False
12-29-2014,Miami Heat,AmericanAirlines Arena,False
12-30-2014,Detroit Pistons,Amway Center,True
1-2-2015,Brooklyn Nets,Amway Center,True
1-3-2015,Charlotte Bobcats,Amway Center,True
1-7-2015,Denver Nuggets,Pepsi Center,False
1-9-2015,Los Angeles Lakers,Staples Center,False
1-10-2015,Portland Trail Blazers,Moda Center,False
1-12-2015,Chicago Bulls,United Center,False
1-14-2015,Houston Rockets,Amway Center,True
1-16-2015,Memphis Grizzlies,Amway Center,True
1-18-2015,Oklahoma City Thunder,Amway Center,True
1-21-2015,Detroit Pistons,The Palace of Auburn Hills,False
1-23-2015,New York Knicks,Madison Square Garden,False
1-25-2015,Indiana Pacers,Amway Center,True
1-26-2015,Memphis Grizzlies,FedExForum,False
1-29-2015,Milwaukee Bucks,Amway Center,True
1-31-2015,Dallas Mavericks,Amway Center,True
2-2-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
2-4-2015,San-Antonio Spurs,AT&T Center,False
2-6-2015,Los Angeles Lakers,Amway Center,True
2-8-2015,Chicago Bulls,Amway Center,True
2-9-2015,Washington Wizards,Verizon Center,False
2-11-2015,New York Knicks,Amway Center,True
2-20-2015,New Orleans Pelicans,Amway Center,True
2-22-2015,Philadelphia 76ers,Amway Center,True
2-25-2015,Miami Heat,Amway Center,True
2-27-2015,Atlanta Hawks,Philips Arena,False
3-1-2015,Charlotte Bobcats,Amway Center,True
3-4-2015,Phoenix Suns,Amway Center,True
3-6-2015,Sacramento Kings,Amway Center,True
3-8-2015,Boston Celtics,Amway Center,True
3-10-2015,Indiana Pacers,Bankers Life Fieldhouse,False
3-11-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
3-13-2015,Boston Celtics,TD Garden,False
3-15-2015,Cleveland Cavaliers,Amway Center,True
3-17-2015,Houston Rockets,Toyota Center,False
3-18-2015,Dallas Mavericks,American Airlines Center,False
3-20-2015,Portland Trail Blazers,Amway Center,True
3-22-2015,Denver Nuggets,Amway Center,True
3-25-2015,Atlanta Hawks,Amway Center,True
3-27-2015,Detroit Pistons,Amway Center,True
4-1-2015,San-Antonio Spurs,Amway Center,True
4-3-2015,Minnesota Timberwolves,Target Center,False
4-4-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
4-8-2015,Chicago Bulls,Amway Center,True
4-10-2015,Toronto Raptors,Amway Center,True
4-11-2015,New York Knicks,Amway Center,True
4-13-2015,Miami Heat,AmericanAirlines Arena,False
4-15-2015,Brooklyn Nets,Barclays Center,False
