DATE,OPPONENT,ARENA,HOME
10-29-2014,Indiana Pacers,Bankers Life Fieldhouse,False
10-31-2014,Milwaukee Bucks,BMO Harris Bradley Center,False
11-1-2014,Miami Heat,Wells Fargo Center,True
11-3-2014,Houston Rockets,Wells Fargo Center,True
11-5-2014,Orlando Magic,Wells Fargo Center,True
11-7-2014,Chicago Bulls,Wells Fargo Center,True
11-9-2014,Toronto Raptors,Air Canada Centre,False
11-13-2014,Dallas Mavericks,American Airlines Center,False
11-14-2014,Houston Rockets,Toyota Center,False
11-17-2014,San-Antonio Spurs,AT&T Center,False
11-19-2014,Boston Celtics,Wells Fargo Center,True
11-21-2014,Phoenix Suns,Wells Fargo Center,True
11-22-2014,New York Knicks,Madison Square Garden,False
11-24-2014,Portland Trail Blazers,Wells Fargo Center,True
11-26-2014,Brooklyn Nets,Wells Fargo Center,True
11-29-2014,Dallas Mavericks,Wells Fargo Center,True
12-1-2014,San-Antonio Spurs,Wells Fargo Center,True
12-3-2014,Minnesota Timberwolves,Target Center,False
12-5-2014,Oklahoma City Thunder,Wells Fargo Center,True
12-6-2014,Detroit Pistons,The Palace of Auburn Hills,False
12-10-2014,Atlanta Hawks,Philips Arena,False
12-12-2014,Brooklyn Nets,Barclays Center,False
12-13-2014,Memphis Grizzlies,Wells Fargo Center,True
12-15-2014,Boston Celtics,Wells Fargo Center,True
12-19-2014,Charlotte Bobcats,Wells Fargo Center,True
12-21-2014,Orlando Magic,Amway Center,False
12-23-2014,Miami Heat,AmericanAirlines Arena,False
12-26-2014,Portland Trail Blazers,Moda Center,False
12-27-2014,Utah Jazz,EnergySolutions Arena,False
12-30-2014,Golden State Warriors,Oracle Arena,False
1-2-2015,Phoenix Suns,US Airways Center,False
1-3-2015,Los Angeles Clippers,Staples Center,False
1-5-2015,Cleveland Cavaliers,Wells Fargo Center,True
1-7-2015,Milwaukee Bucks,Wells Fargo Center,True
1-9-2015,Brooklyn Nets,Barclays Center,False
1-10-2015,Indiana Pacers,Wells Fargo Center,True
1-13-2015,Atlanta Hawks,Wells Fargo Center,True
1-14-2015,Toronto Raptors,Air Canada Centre,False
1-16-2015,New Orleans Pelicans,Wells Fargo Center,True
1-17-2015,Detroit Pistons,The Palace of Auburn Hills,False
1-19-2015,Washington Wizards,Verizon Center,False
1-21-2015,New York Knicks,Wells Fargo Center,True
1-23-2015,Toronto Raptors,Wells Fargo Center,True
1-24-2015,Memphis Grizzlies,FedExForum,False
1-26-2015,New Orleans Pelicans,New Orleans Arena,False
1-28-2015,Detroit Pistons,Wells Fargo Center,True
1-30-2015,Minnesota Timberwolves,Wells Fargo Center,True
1-31-2015,Atlanta Hawks,Philips Arena,False
2-2-2015,Cleveland Cavaliers,Quicken Loans Arena,False
2-3-2015,Denver Nuggets,Wells Fargo Center,True
2-6-2015,Boston Celtics,TD Garden,False
2-7-2015,Charlotte Bobcats,Wells Fargo Center,True
2-9-2015,Golden State Warriors,Wells Fargo Center,True
2-20-2015,Indiana Pacers,Wells Fargo Center,True
2-22-2015,Orlando Magic,Amway Center,False
2-23-2015,Miami Heat,AmericanAirlines Arena,False
2-25-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
2-27-2015,Washington Wizards,Wells Fargo Center,True
3-1-2015,Indiana Pacers,Bankers Life Fieldhouse,False
3-2-2015,Toronto Raptors,Wells Fargo Center,True
3-4-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
3-6-2015,Utah Jazz,Wells Fargo Center,True
3-7-2015,Atlanta Hawks,Wells Fargo Center,True
3-11-2015,Chicago Bulls,Wells Fargo Center,True
3-13-2015,Sacramento Kings,Wells Fargo Center,True
3-14-2015,Brooklyn Nets,Wells Fargo Center,True
3-16-2015,Boston Celtics,TD Garden,False
3-18-2015,Detroit Pistons,Wells Fargo Center,True
3-20-2015,New York Knicks,Wells Fargo Center,True
3-22-2015,Los Angeles Lakers,Staples Center,False
3-24-2015,Sacramento Kings,Sleep Train Arena,False
3-25-2015,Denver Nuggets,Pepsi Center,False
3-27-2015,Los Angeles Clippers,Wells Fargo Center,True
3-29-2015,Cleveland Cavaliers,Quicken Loans Arena,False
3-30-2015,Los Angeles Lakers,Wells Fargo Center,True
4-1-2015,Washington Wizards,Verizon Center,False
4-4-2015,Charlotte Bobcats,Time Warner Cable Arena,False
4-5-2015,New York Knicks,Madison Square Garden,False
4-8-2015,Washington Wizards,Wells Fargo Center,True
4-11-2015,Chicago Bulls,United Center,False
4-13-2015,Milwaukee Bucks,Wells Fargo Center,True
4-15-2015,Miami Heat,Wells Fargo Center,True
