DATE,OPPONENT,ARENA,HOME
10-29-2014,Los Angeles Lakers,US Airways Center,True
10-31-2014,San-Antonio Spurs,US Airways Center,True
11-1-2014,Utah Jazz,EnergySolutions Arena,False
11-4-2014,Los Angeles Lakers,Staples Center,False
11-5-2014,Memphis Grizzlies,US Airways Center,True
11-7-2014,Sacramento Kings,US Airways Center,True
11-9-2014,Golden State Warriors,US Airways Center,True
11-12-2014,Brooklyn Nets,US Airways Center,True
11-14-2014,Charlotte Bobcats,US Airways Center,True
11-15-2014,Los Angeles Clippers,Staples Center,False
11-17-2014,Boston Celtics,TD Garden,False
11-19-2014,Detroit Pistons,The Palace of Auburn Hills,False
11-21-2014,Philadelphia 76ers,Wells Fargo Center,False
11-22-2014,Indiana Pacers,Bankers Life Fieldhouse,False
11-24-2014,Toronto Raptors,Air Canada Centre,False
11-26-2014,Denver Nuggets,US Airways Center,True
11-28-2014,Denver Nuggets,Pepsi Center,False
11-30-2014,Orlando Magic,US Airways Center,True
12-2-2014,Indiana Pacers,US Airways Center,True
12-5-2014,Dallas Mavericks,American Airlines Center,False
12-6-2014,Houston Rockets,Toyota Center,False
12-8-2014,Los Angeles Clippers,Staples Center,False
12-9-2014,Miami Heat,US Airways Center,True
12-12-2014,Detroit Pistons,US Airways Center,True
12-14-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
12-15-2014,Milwaukee Bucks,US Airways Center,True
12-17-2014,Charlotte Bobcats,Time Warner Cable Arena,False
12-20-2014,New York Knicks,Madison Square Garden,False
12-21-2014,Washington Wizards,Verizon Center,False
12-23-2014,Dallas Mavericks,US Airways Center,True
12-26-2014,Sacramento Kings,Sleep Train Arena,False
12-28-2014,Los Angeles Lakers,Staples Center,False
12-30-2014,New Orleans Pelicans,New Orleans Arena,False
12-31-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
1-2-2015,Philadelphia 76ers,US Airways Center,True
1-4-2015,Toronto Raptors,US Airways Center,True
1-6-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
1-7-2015,Minnesota Timberwolves,Target Center,False
1-9-2015,San-Antonio Spurs,AT&T Center,False
1-11-2015,Memphis Grizzlies,FedExForum,False
1-13-2015,Cleveland Cavaliers,US Airways Center,True
1-16-2015,Minnesota Timberwolves,US Airways Center,True
1-19-2015,Los Angeles Lakers,US Airways Center,True
1-21-2015,Portland Trail Blazers,US Airways Center,True
1-23-2015,Houston Rockets,US Airways Center,True
1-25-2015,Los Angeles Clippers,US Airways Center,True
1-28-2015,Washington Wizards,US Airways Center,True
1-30-2015,Chicago Bulls,US Airways Center,True
1-31-2015,Golden State Warriors,Oracle Arena,False
2-2-2015,Memphis Grizzlies,US Airways Center,True
2-5-2015,Portland Trail Blazers,Moda Center,False
2-6-2015,Utah Jazz,US Airways Center,True
2-8-2015,Sacramento Kings,Sleep Train Arena,False
2-10-2015,Houston Rockets,US Airways Center,True
2-20-2015,Minnesota Timberwolves,Target Center,False
2-21-2015,Chicago Bulls,United Center,False
2-23-2015,Boston Celtics,US Airways Center,True
2-25-2015,Denver Nuggets,Pepsi Center,False
2-26-2015,Oklahoma City Thunder,US Airways Center,True
2-28-2015,San-Antonio Spurs,US Airways Center,True
3-2-2015,Miami Heat,AmericanAirlines Arena,False
3-4-2015,Orlando Magic,Amway Center,False
3-6-2015,Brooklyn Nets,Barclays Center,False
3-7-2015,Cleveland Cavaliers,Quicken Loans Arena,False
3-9-2015,Golden State Warriors,US Airways Center,True
3-11-2015,Minnesota Timberwolves,US Airways Center,True
3-13-2015,Atlanta Hawks,US Airways Center,True
3-15-2015,New York Knicks,US Airways Center,True
3-19-2015,New Orleans Pelicans,US Airways Center,True
3-21-2015,Houston Rockets,Toyota Center,False
3-22-2015,Dallas Mavericks,US Airways Center,True
3-25-2015,Sacramento Kings,US Airways Center,True
3-27-2015,Portland Trail Blazers,US Airways Center,True
3-29-2015,Oklahoma City Thunder,US Airways Center,True
3-30-2015,Portland Trail Blazers,Moda Center,False
4-2-2015,Golden State Warriors,Oracle Arena,False
4-4-2015,Utah Jazz,US Airways Center,True
4-7-2015,Atlanta Hawks,Philips Arena,False
4-8-2015,Dallas Mavericks,American Airlines Center,False
4-10-2015,New Orleans Pelicans,New Orleans Arena,False
4-12-2015,San-Antonio Spurs,AT&T Center,False
4-14-2015,Los Angeles Clippers,US Airways Center,True
