DATE,OPPONENT,ARENA,HOME
10-29-2014,Oklahoma City Thunder,Moda Center,True
10-31-2014,Sacramento Kings,Sleep Train Arena,False
11-2-2014,Golden State Warriors,Moda Center,True
11-4-2014,Cleveland Cavaliers,Moda Center,True
11-6-2014,Dallas Mavericks,Moda Center,True
11-8-2014,Los Angeles Clippers,Staples Center,False
11-9-2014,Denver Nuggets,Moda Center,True
11-11-2014,Charlotte Bobcats,Moda Center,True
11-12-2014,Denver Nuggets,Pepsi Center,False
11-15-2014,Brooklyn Nets,Moda Center,True
11-17-2014,New Orleans Pelicans,Moda Center,True
11-21-2014,Chicago Bulls,Moda Center,True
11-23-2014,Boston Celtics,TD Garden,False
11-24-2014,Philadelphia 76ers,Wells Fargo Center,False
11-26-2014,Charlotte Bobcats,Time Warner Cable Arena,False
11-28-2014,Memphis Grizzlies,Moda Center,True
11-30-2014,Minnesota Timberwolves,Moda Center,True
12-2-2014,Denver Nuggets,Pepsi Center,False
12-4-2014,Indiana Pacers,Moda Center,True
12-7-2014,New York Knicks,Madison Square Garden,False
12-9-2014,Detroit Pistons,The Palace of Auburn Hills,False
12-10-2014,Minnesota Timberwolves,Target Center,False
12-12-2014,Chicago Bulls,United Center,False
12-13-2014,Indiana Pacers,Bankers Life Fieldhouse,False
12-15-2014,San-Antonio Spurs,Moda Center,True
12-17-2014,Milwaukee Bucks,Moda Center,True
12-19-2014,San-Antonio Spurs,AT&T Center,False
12-20-2014,New Orleans Pelicans,New Orleans Arena,False
12-22-2014,Houston Rockets,Toyota Center,False
12-23-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
12-26-2014,Philadelphia 76ers,Moda Center,True
12-28-2014,New York Knicks,Moda Center,True
12-30-2014,Toronto Raptors,Moda Center,True
1-3-2015,Atlanta Hawks,Moda Center,True
1-5-2015,Los Angeles Lakers,Moda Center,True
1-8-2015,Miami Heat,Moda Center,True
1-10-2015,Orlando Magic,Moda Center,True
1-11-2015,Los Angeles Lakers,Staples Center,False
1-14-2015,Los Angeles Clippers,Moda Center,True
1-16-2015,San-Antonio Spurs,AT&T Center,False
1-17-2015,Memphis Grizzlies,FedExForum,False
1-19-2015,Sacramento Kings,Moda Center,True
1-21-2015,Phoenix Suns,US Airways Center,False
1-22-2015,Boston Celtics,Moda Center,True
1-24-2015,Washington Wizards,Moda Center,True
1-26-2015,Brooklyn Nets,Barclays Center,False
1-28-2015,Cleveland Cavaliers,Quicken Loans Arena,False
1-30-2015,Atlanta Hawks,Philips Arena,False
1-31-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
2-3-2015,Utah Jazz,Moda Center,True
2-5-2015,Phoenix Suns,Moda Center,True
2-7-2015,Dallas Mavericks,American Airlines Center,False
2-8-2015,Houston Rockets,Toyota Center,False
2-11-2015,Los Angeles Lakers,Moda Center,True
2-20-2015,Utah Jazz,EnergySolutions Arena,False
2-22-2015,Memphis Grizzlies,Moda Center,True
2-25-2015,San-Antonio Spurs,Moda Center,True
2-27-2015,Oklahoma City Thunder,Moda Center,True
3-1-2015,Sacramento Kings,Sleep Train Arena,False
3-4-2015,Los Angeles Clippers,Staples Center,False
3-5-2015,Dallas Mavericks,Moda Center,True
3-7-2015,Minnesota Timberwolves,Target Center,False
3-11-2015,Houston Rockets,Moda Center,True
3-13-2015,Detroit Pistons,Moda Center,True
3-15-2015,Toronto Raptors,Air Canada Centre,False
3-16-2015,Washington Wizards,Verizon Center,False
3-18-2015,Miami Heat,AmericanAirlines Arena,False
3-20-2015,Orlando Magic,Amway Center,False
3-21-2015,Memphis Grizzlies,FedExForum,False
3-24-2015,Golden State Warriors,Moda Center,True
3-25-2015,Utah Jazz,EnergySolutions Arena,False
3-27-2015,Phoenix Suns,US Airways Center,False
3-28-2015,Denver Nuggets,Moda Center,True
3-30-2015,Phoenix Suns,Moda Center,True
4-1-2015,Los Angeles Clippers,Moda Center,True
4-3-2015,Los Angeles Lakers,Staples Center,False
4-4-2015,New Orleans Pelicans,Moda Center,True
4-8-2015,Minnesota Timberwolves,Moda Center,True
4-9-2015,Golden State Warriors,Oracle Arena,False
4-11-2015,Utah Jazz,Moda Center,True
4-13-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
4-15-2015,Dallas Mavericks,American Airlines Center,False
