DATE,OPPONENT,ARENA,HOME
10-29-2014,Golden State Warriors,Sleep Train Arena,True
10-31-2014,Portland Trail Blazers,Sleep Train Arena,True
11-2-2014,Los Angeles Clippers,Staples Center,False
11-3-2014,Denver Nuggets,Pepsi Center,False
11-5-2014,Denver Nuggets,Sleep Train Arena,True
11-7-2014,Phoenix Suns,US Airways Center,False
11-9-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
11-11-2014,Dallas Mavericks,American Airlines Center,False
11-13-2014,Memphis Grizzlies,FedExForum,False
11-15-2014,San-Antonio Spurs,Sleep Train Arena,True
11-18-2014,New Orleans Pelicans,Sleep Train Arena,True
11-20-2014,Chicago Bulls,Sleep Train Arena,True
11-22-2014,Minnesota Timberwolves,Target Center,False
11-25-2014,New Orleans Pelicans,New Orleans Arena,False
11-26-2014,Houston Rockets,Toyota Center,False
11-28-2014,San-Antonio Spurs,AT&T Center,False
11-30-2014,Memphis Grizzlies,Sleep Train Arena,True
12-2-2014,Toronto Raptors,Sleep Train Arena,True
12-5-2014,Indiana Pacers,Sleep Train Arena,True
12-6-2014,Orlando Magic,Sleep Train Arena,True
12-8-2014,Utah Jazz,Sleep Train Arena,True
12-9-2014,Los Angeles Lakers,Staples Center,False
12-11-2014,Houston Rockets,Sleep Train Arena,True
12-13-2014,Detroit Pistons,Sleep Train Arena,True
12-16-2014,Oklahoma City Thunder,Sleep Train Arena,True
12-18-2014,Milwaukee Bucks,Sleep Train Arena,True
12-21-2014,Los Angeles Lakers,Sleep Train Arena,True
12-22-2014,Golden State Warriors,Oracle Arena,False
12-26-2014,Phoenix Suns,Sleep Train Arena,True
12-27-2014,New York Knicks,Sleep Train Arena,True
12-29-2014,Brooklyn Nets,Barclays Center,False
12-31-2014,Boston Celtics,TD Garden,False
1-1-2015,Minnesota Timberwolves,Target Center,False
1-4-2015,Detroit Pistons,The Palace of Auburn Hills,False
1-7-2015,Oklahoma City Thunder,Sleep Train Arena,True
1-9-2015,Denver Nuggets,Sleep Train Arena,True
1-11-2015,Cleveland Cavaliers,Sleep Train Arena,True
1-13-2015,Dallas Mavericks,Sleep Train Arena,True
1-16-2015,Miami Heat,Sleep Train Arena,True
1-17-2015,Los Angeles Clippers,Sleep Train Arena,True
1-19-2015,Portland Trail Blazers,Moda Center,False
1-21-2015,Brooklyn Nets,Sleep Train Arena,True
1-23-2015,Golden State Warriors,Oracle Arena,False
1-26-2015,New York Knicks,Madison Square Garden,False
1-28-2015,Toronto Raptors,Air Canada Centre,False
1-30-2015,Cleveland Cavaliers,Quicken Loans Arena,False
1-31-2015,Indiana Pacers,Bankers Life Fieldhouse,False
2-3-2015,Golden State Warriors,Sleep Train Arena,True
2-5-2015,Dallas Mavericks,Sleep Train Arena,True
2-7-2015,Utah Jazz,EnergySolutions Arena,False
2-8-2015,Phoenix Suns,Sleep Train Arena,True
2-10-2015,Chicago Bulls,United Center,False
2-11-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
2-20-2015,Boston Celtics,Sleep Train Arena,True
2-21-2015,Los Angeles Clippers,Staples Center,False
2-25-2015,Memphis Grizzlies,Sleep Train Arena,True
2-27-2015,San-Antonio Spurs,Sleep Train Arena,True
3-1-2015,Portland Trail Blazers,Sleep Train Arena,True
3-4-2015,San-Antonio Spurs,AT&T Center,False
3-6-2015,Orlando Magic,Amway Center,False
3-7-2015,Miami Heat,AmericanAirlines Arena,False
3-9-2015,Atlanta Hawks,Philips Arena,False
3-11-2015,Charlotte Bobcats,Time Warner Cable Arena,False
3-13-2015,Philadelphia 76ers,Wells Fargo Center,False
3-14-2015,Washington Wizards,Verizon Center,False
3-16-2015,Atlanta Hawks,Sleep Train Arena,True
3-18-2015,Los Angeles Clippers,Sleep Train Arena,True
3-20-2015,Charlotte Bobcats,Sleep Train Arena,True
3-22-2015,Washington Wizards,Sleep Train Arena,True
3-24-2015,Philadelphia 76ers,Sleep Train Arena,True
3-25-2015,Phoenix Suns,US Airways Center,False
3-27-2015,New Orleans Pelicans,New Orleans Arena,False
3-30-2015,Memphis Grizzlies,FedExForum,False
4-1-2015,Houston Rockets,Toyota Center,False
4-3-2015,New Orleans Pelicans,Sleep Train Arena,True
4-5-2015,Utah Jazz,Sleep Train Arena,True
4-7-2015,Minnesota Timberwolves,Sleep Train Arena,True
4-8-2015,Utah Jazz,EnergySolutions Arena,False
4-10-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
4-12-2015,Denver Nuggets,Pepsi Center,False
4-13-2015,Los Angeles Lakers,Sleep Train Arena,True
4-15-2015,Los Angeles Lakers,Staples Center,False
