DATE,OPPONENT,ARENA,HOME
10-28-2014,Dallas Mavericks,AT&T Center,True
10-31-2014,Phoenix Suns,US Airways Center,False
11-5-2014,Atlanta Hawks,AT&T Center,True
11-6-2014,Houston Rockets,Toyota Center,False
11-8-2014,New Orleans Pelicans,AT&T Center,True
11-10-2014,Los Angeles Clippers,Staples Center,False
11-11-2014,Golden State Warriors,Oracle Arena,False
11-14-2014,Los Angeles Lakers,Staples Center,False
11-15-2014,Sacramento Kings,Sleep Train Arena,False
11-17-2014,Philadelphia 76ers,AT&T Center,True
11-19-2014,Cleveland Cavaliers,Quicken Loans Arena,False
11-21-2014,Minnesota Timberwolves,Target Center,False
11-22-2014,Brooklyn Nets,AT&T Center,True
11-26-2014,Indiana Pacers,AT&T Center,True
11-28-2014,Sacramento Kings,AT&T Center,True
11-30-2014,Boston Celtics,TD Garden,False
12-1-2014,Philadelphia 76ers,Wells Fargo Center,False
12-3-2014,Brooklyn Nets,Barclays Center,False
12-5-2014,Memphis Grizzlies,FedExForum,False
12-6-2014,Minnesota Timberwolves,AT&T Center,True
12-9-2014,Utah Jazz,EnergySolutions Arena,False
12-10-2014,New York Knicks,AT&T Center,True
12-12-2014,Los Angeles Lakers,AT&T Center,True
12-14-2014,Denver Nuggets,Pepsi Center,False
12-15-2014,Portland Trail Blazers,Moda Center,False
12-17-2014,Memphis Grizzlies,AT&T Center,True
12-19-2014,Portland Trail Blazers,AT&T Center,True
12-20-2014,Dallas Mavericks,American Airlines Center,False
12-22-2014,Los Angeles Clippers,AT&T Center,True
12-25-2014,Oklahoma City Thunder,AT&T Center,True
12-26-2014,New Orleans Pelicans,New Orleans Arena,False
12-28-2014,Houston Rockets,AT&T Center,True
12-30-2014,Memphis Grizzlies,FedExForum,False
12-31-2014,New Orleans Pelicans,AT&T Center,True
1-3-2015,Washington Wizards,AT&T Center,True
1-6-2015,Detroit Pistons,AT&T Center,True
1-9-2015,Phoenix Suns,AT&T Center,True
1-10-2015,Minnesota Timberwolves,Target Center,False
1-13-2015,Washington Wizards,Verizon Center,False
1-14-2015,Charlotte Bobcats,Time Warner Cable Arena,False
1-16-2015,Portland Trail Blazers,AT&T Center,True
1-18-2015,Utah Jazz,AT&T Center,True
1-20-2015,Denver Nuggets,Pepsi Center,False
1-22-2015,Chicago Bulls,United Center,False
1-23-2015,Los Angeles Lakers,AT&T Center,True
1-25-2015,Milwaukee Bucks,AT&T Center,True
1-28-2015,Charlotte Bobcats,AT&T Center,True
1-31-2015,Los Angeles Clippers,AT&T Center,True
2-4-2015,Orlando Magic,AT&T Center,True
2-6-2015,Miami Heat,AT&T Center,True
2-8-2015,Toronto Raptors,Air Canada Centre,False
2-9-2015,Indiana Pacers,Bankers Life Fieldhouse,False
2-11-2015,Detroit Pistons,The Palace of Auburn Hills,False
2-19-2015,Los Angeles Clippers,Staples Center,False
2-20-2015,Golden State Warriors,Oracle Arena,False
2-23-2015,Utah Jazz,EnergySolutions Arena,False
2-25-2015,Portland Trail Blazers,Moda Center,False
2-27-2015,Sacramento Kings,Sleep Train Arena,False
2-28-2015,Phoenix Suns,US Airways Center,False
3-4-2015,Sacramento Kings,AT&T Center,True
3-6-2015,Denver Nuggets,AT&T Center,True
3-8-2015,Chicago Bulls,AT&T Center,True
3-10-2015,Toronto Raptors,AT&T Center,True
3-12-2015,Cleveland Cavaliers,AT&T Center,True
3-15-2015,Minnesota Timberwolves,AT&T Center,True
3-17-2015,New York Knicks,Madison Square Garden,False
3-18-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
3-20-2015,Boston Celtics,AT&T Center,True
3-22-2015,Atlanta Hawks,Philips Arena,False
3-24-2015,Dallas Mavericks,American Airlines Center,False
3-25-2015,Oklahoma City Thunder,AT&T Center,True
3-27-2015,Dallas Mavericks,AT&T Center,True
3-29-2015,Memphis Grizzlies,AT&T Center,True
3-31-2015,Miami Heat,AmericanAirlines Arena,False
4-1-2015,Orlando Magic,Amway Center,False
4-3-2015,Denver Nuggets,AT&T Center,True
4-5-2015,Golden State Warriors,AT&T Center,True
4-7-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
4-8-2015,Houston Rockets,AT&T Center,True
4-10-2015,Houston Rockets,Toyota Center,False
4-12-2015,Phoenix Suns,AT&T Center,True
4-15-2015,New Orleans Pelicans,New Orleans Arena,False
