DATE,OPPONENT,ARENA,HOME
10-29-2014,Atlanta Hawks,Air Canada Centre,True
11-1-2014,Orlando Magic,Amway Center,False
11-2-2014,Miami Heat,AmericanAirlines Arena,False
11-4-2014,Oklahoma City Thunder,Air Canada Centre,True
11-5-2014,Boston Celtics,TD Garden,False
11-7-2014,Washington Wizards,Air Canada Centre,True
11-9-2014,Philadelphia 76ers,Air Canada Centre,True
11-11-2014,Orlando Magic,Air Canada Centre,True
11-13-2014,Chicago Bulls,Air Canada Centre,True
11-15-2014,Utah Jazz,Air Canada Centre,True
11-19-2014,Memphis Grizzlies,Air Canada Centre,True
11-21-2014,Milwaukee Bucks,Air Canada Centre,True
11-22-2014,Cleveland Cavaliers,Quicken Loans Arena,False
11-24-2014,Phoenix Suns,Air Canada Centre,True
11-26-2014,Atlanta Hawks,Philips Arena,False
11-28-2014,Dallas Mavericks,Air Canada Centre,True
11-30-2014,Los Angeles Lakers,Staples Center,False
12-2-2014,Sacramento Kings,Sleep Train Arena,False
12-3-2014,Utah Jazz,EnergySolutions Arena,False
12-5-2014,Cleveland Cavaliers,Air Canada Centre,True
12-8-2014,Denver Nuggets,Air Canada Centre,True
12-9-2014,Cleveland Cavaliers,Quicken Loans Arena,False
12-12-2014,Indiana Pacers,Air Canada Centre,True
12-14-2014,New York Knicks,Madison Square Garden,False
12-15-2014,Orlando Magic,Air Canada Centre,True
12-17-2014,Brooklyn Nets,Air Canada Centre,True
12-19-2014,Detroit Pistons,The Palace of Auburn Hills,False
12-21-2014,New York Knicks,Air Canada Centre,True
12-22-2014,Chicago Bulls,United Center,False
12-27-2014,Los Angeles Clippers,Staples Center,False
12-28-2014,Denver Nuggets,Pepsi Center,False
12-30-2014,Portland Trail Blazers,Moda Center,False
1-2-2015,Golden State Warriors,Oracle Arena,False
1-4-2015,Phoenix Suns,US Airways Center,False
1-8-2015,Charlotte Bobcats,Air Canada Centre,True
1-10-2015,Boston Celtics,Air Canada Centre,True
1-12-2015,Detroit Pistons,Air Canada Centre,True
1-14-2015,Philadelphia 76ers,Air Canada Centre,True
1-16-2015,Atlanta Hawks,Air Canada Centre,True
1-18-2015,New Orleans Pelicans,Air Canada Centre,True
1-19-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
1-21-2015,Memphis Grizzlies,FedExForum,False
1-23-2015,Philadelphia 76ers,Wells Fargo Center,False
1-25-2015,Detroit Pistons,Air Canada Centre,True
1-27-2015,Indiana Pacers,Bankers Life Fieldhouse,False
1-28-2015,Sacramento Kings,Air Canada Centre,True
1-30-2015,Brooklyn Nets,Barclays Center,False
1-31-2015,Washington Wizards,Verizon Center,False
2-2-2015,Milwaukee Bucks,Air Canada Centre,True
2-4-2015,Brooklyn Nets,Air Canada Centre,True
2-6-2015,Los Angeles Clippers,Air Canada Centre,True
2-8-2015,San-Antonio Spurs,Air Canada Centre,True
2-11-2015,Washington Wizards,Air Canada Centre,True
2-20-2015,Atlanta Hawks,Philips Arena,False
2-21-2015,Houston Rockets,Toyota Center,False
2-23-2015,New Orleans Pelicans,New Orleans Arena,False
2-24-2015,Dallas Mavericks,American Airlines Center,False
2-27-2015,Golden State Warriors,Air Canada Centre,True
2-28-2015,New York Knicks,Madison Square Garden,False
3-2-2015,Philadelphia 76ers,Wells Fargo Center,False
3-4-2015,Cleveland Cavaliers,Air Canada Centre,True
3-6-2015,Charlotte Bobcats,Time Warner Cable Arena,False
3-8-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
3-10-2015,San-Antonio Spurs,AT&T Center,False
3-13-2015,Miami Heat,Air Canada Centre,True
3-15-2015,Portland Trail Blazers,Air Canada Centre,True
3-16-2015,Indiana Pacers,Bankers Life Fieldhouse,False
3-18-2015,Minnesota Timberwolves,Air Canada Centre,True
3-20-2015,Chicago Bulls,United Center,False
3-22-2015,New York Knicks,Air Canada Centre,True
3-24-2015,Detroit Pistons,The Palace of Auburn Hills,False
3-25-2015,Chicago Bulls,Air Canada Centre,True
3-27-2015,Los Angeles Lakers,Air Canada Centre,True
3-30-2015,Houston Rockets,Air Canada Centre,True
4-1-2015,Minnesota Timberwolves,Target Center,False
4-3-2015,Brooklyn Nets,Barclays Center,False
4-4-2015,Boston Celtics,Air Canada Centre,True
4-8-2015,Charlotte Bobcats,Time Warner Cable Arena,False
4-10-2015,Orlando Magic,Amway Center,False
4-11-2015,Miami Heat,AmericanAirlines Arena,False
4-14-2015,Boston Celtics,TD Garden,False
4-15-2015,Charlotte Bobcats,Air Canada Centre,True
