DATE,OPPONENT,ARENA,HOME
10-29-2014,Houston Rockets,EnergySolutions Arena,True
10-30-2014,Dallas Mavericks,American Airlines Center,False
11-1-2014,Phoenix Suns,EnergySolutions Arena,True
11-3-2014,Los Angeles Clippers,Staples Center,False
11-5-2014,Cleveland Cavaliers,EnergySolutions Arena,True
11-7-2014,Dallas Mavericks,EnergySolutions Arena,True
11-9-2014,Detroit Pistons,The Palace of Auburn Hills,False
11-10-2014,Indiana Pacers,Bankers Life Fieldhouse,False
11-12-2014,Atlanta Hawks,Philips Arena,False
11-14-2014,New York Knicks,Madison Square Garden,False
11-15-2014,Toronto Raptors,Air Canada Centre,False
11-18-2014,Oklahoma City Thunder,EnergySolutions Arena,True
11-21-2014,Golden State Warriors,Oracle Arena,False
11-22-2014,New Orleans Pelicans,EnergySolutions Arena,True
11-24-2014,Chicago Bulls,EnergySolutions Arena,True
11-26-2014,Oklahoma City Thunder,Chesapeake Energy Arena,False
11-29-2014,Los Angeles Clippers,EnergySolutions Arena,True
12-1-2014,Denver Nuggets,EnergySolutions Arena,True
12-3-2014,Toronto Raptors,EnergySolutions Arena,True
12-5-2014,Orlando Magic,EnergySolutions Arena,True
12-8-2014,Sacramento Kings,Sleep Train Arena,False
12-9-2014,San-Antonio Spurs,EnergySolutions Arena,True
12-12-2014,Miami Heat,EnergySolutions Arena,True
12-14-2014,Washington Wizards,Verizon Center,False
12-16-2014,New Orleans Pelicans,New Orleans Arena,False
12-17-2014,Miami Heat,AmericanAirlines Arena,False
12-19-2014,Orlando Magic,Amway Center,False
12-20-2014,Charlotte Bobcats,Time Warner Cable Arena,False
12-22-2014,Memphis Grizzlies,FedExForum,False
12-27-2014,Philadelphia 76ers,EnergySolutions Arena,True
12-29-2014,Los Angeles Clippers,Staples Center,False
12-30-2014,Minnesota Timberwolves,EnergySolutions Arena,True
1-2-2015,Atlanta Hawks,EnergySolutions Arena,True
1-3-2015,Minnesota Timberwolves,Target Center,False
1-5-2015,Indiana Pacers,EnergySolutions Arena,True
1-7-2015,Chicago Bulls,United Center,False
1-9-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
1-10-2015,Houston Rockets,Toyota Center,False
1-13-2015,Golden State Warriors,EnergySolutions Arena,True
1-16-2015,Los Angeles Lakers,EnergySolutions Arena,True
1-18-2015,San-Antonio Spurs,AT&T Center,False
1-21-2015,Cleveland Cavaliers,Quicken Loans Arena,False
1-22-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
1-24-2015,Brooklyn Nets,EnergySolutions Arena,True
1-26-2015,Boston Celtics,EnergySolutions Arena,True
1-28-2015,Los Angeles Clippers,EnergySolutions Arena,True
1-30-2015,Golden State Warriors,EnergySolutions Arena,True
2-3-2015,Portland Trail Blazers,Moda Center,False
2-4-2015,Memphis Grizzlies,EnergySolutions Arena,True
2-6-2015,Phoenix Suns,US Airways Center,False
2-7-2015,Sacramento Kings,EnergySolutions Arena,True
2-9-2015,New Orleans Pelicans,New Orleans Arena,False
2-11-2015,Dallas Mavericks,American Airlines Center,False
2-20-2015,Portland Trail Blazers,EnergySolutions Arena,True
2-23-2015,San-Antonio Spurs,EnergySolutions Arena,True
2-25-2015,Los Angeles Lakers,EnergySolutions Arena,True
2-27-2015,Denver Nuggets,Pepsi Center,False
2-28-2015,Milwaukee Bucks,EnergySolutions Arena,True
3-3-2015,Memphis Grizzlies,FedExForum,False
3-4-2015,Boston Celtics,TD Garden,False
3-6-2015,Philadelphia 76ers,Wells Fargo Center,False
3-8-2015,Brooklyn Nets,Barclays Center,False
3-10-2015,New York Knicks,EnergySolutions Arena,True
3-12-2015,Houston Rockets,EnergySolutions Arena,True
3-14-2015,Detroit Pistons,EnergySolutions Arena,True
3-16-2015,Charlotte Bobcats,EnergySolutions Arena,True
3-18-2015,Washington Wizards,EnergySolutions Arena,True
3-19-2015,Los Angeles Lakers,Staples Center,False
3-21-2015,Golden State Warriors,Oracle Arena,False
3-23-2015,Minnesota Timberwolves,EnergySolutions Arena,True
3-25-2015,Portland Trail Blazers,EnergySolutions Arena,True
3-27-2015,Denver Nuggets,Pepsi Center,False
3-28-2015,Oklahoma City Thunder,EnergySolutions Arena,True
3-30-2015,Minnesota Timberwolves,Target Center,False
4-1-2015,Denver Nuggets,EnergySolutions Arena,True
4-4-2015,Phoenix Suns,US Airways Center,False
4-5-2015,Sacramento Kings,Sleep Train Arena,False
4-8-2015,Sacramento Kings,EnergySolutions Arena,True
4-10-2015,Memphis Grizzlies,EnergySolutions Arena,True
4-11-2015,Portland Trail Blazers,Moda Center,False
4-13-2015,Dallas Mavericks,EnergySolutions Arena,True
4-15-2015,Houston Rockets,Toyota Center,False
