DATE,OPPONENT,ARENA,HOME
10-29-2014,Miami Heat,AmericanAirlines Arena,False
10-30-2014,Orlando Magic,Amway Center,False
11-1-2014,Milwaukee Bucks,Verizon Center,True
11-4-2014,New York Knicks,Madison Square Garden,False
11-5-2014,Indiana Pacers,Verizon Center,True
11-7-2014,Toronto Raptors,Air Canada Centre,False
11-8-2014,Indiana Pacers,Bankers Life Fieldhouse,False
11-12-2014,Detroit Pistons,Verizon Center,True
11-15-2014,Orlando Magic,Verizon Center,True
11-19-2014,Dallas Mavericks,Verizon Center,True
11-21-2014,Cleveland Cavaliers,Verizon Center,True
11-22-2014,Milwaukee Bucks,BMO Harris Bradley Center,False
11-25-2014,Atlanta Hawks,Verizon Center,True
11-26-2014,Cleveland Cavaliers,Quicken Loans Arena,False
11-29-2014,New Orleans Pelicans,Verizon Center,True
12-1-2014,Miami Heat,Verizon Center,True
12-3-2014,Los Angeles Lakers,Verizon Center,True
12-5-2014,Denver Nuggets,Verizon Center,True
12-7-2014,Boston Celtics,TD Garden,False
12-8-2014,Boston Celtics,Verizon Center,True
12-10-2014,Orlando Magic,Amway Center,False
12-12-2014,Los Angeles Clippers,Verizon Center,True
12-14-2014,Utah Jazz,Verizon Center,True
12-16-2014,Minnesota Timberwolves,Verizon Center,True
12-19-2014,Miami Heat,AmericanAirlines Arena,False
12-21-2014,Phoenix Suns,Verizon Center,True
12-23-2014,Chicago Bulls,Verizon Center,True
12-25-2014,New York Knicks,Madison Square Garden,False
12-27-2014,Boston Celtics,Verizon Center,True
12-29-2014,Houston Rockets,Toyota Center,False
12-30-2014,Dallas Mavericks,American Airlines Center,False
1-2-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
1-3-2015,San-Antonio Spurs,AT&T Center,False
1-5-2015,New Orleans Pelicans,New Orleans Arena,False
1-7-2015,New York Knicks,Verizon Center,True
1-9-2015,Chicago Bulls,Verizon Center,True
1-11-2015,Atlanta Hawks,Philips Arena,False
1-13-2015,San-Antonio Spurs,Verizon Center,True
1-14-2015,Chicago Bulls,United Center,False
1-16-2015,Brooklyn Nets,Verizon Center,True
1-17-2015,Brooklyn Nets,Barclays Center,False
1-19-2015,Philadelphia 76ers,Verizon Center,True
1-21-2015,Oklahoma City Thunder,Verizon Center,True
1-24-2015,Portland Trail Blazers,Moda Center,False
1-25-2015,Denver Nuggets,Pepsi Center,False
1-27-2015,Los Angeles Lakers,Staples Center,False
1-28-2015,Phoenix Suns,US Airways Center,False
1-31-2015,Toronto Raptors,Verizon Center,True
2-2-2015,Charlotte Bobcats,Verizon Center,True
2-4-2015,Atlanta Hawks,Philips Arena,False
2-5-2015,Charlotte Bobcats,Time Warner Cable Arena,False
2-7-2015,Brooklyn Nets,Verizon Center,True
2-9-2015,Orlando Magic,Verizon Center,True
2-11-2015,Toronto Raptors,Air Canada Centre,False
2-20-2015,Cleveland Cavaliers,Verizon Center,True
2-22-2015,Detroit Pistons,The Palace of Auburn Hills,False
2-24-2015,Golden State Warriors,Verizon Center,True
2-25-2015,Minnesota Timberwolves,Target Center,False
2-27-2015,Philadelphia 76ers,Wells Fargo Center,False
2-28-2015,Detroit Pistons,Verizon Center,True
3-3-2015,Chicago Bulls,United Center,False
3-6-2015,Miami Heat,Verizon Center,True
3-7-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
3-9-2015,Charlotte Bobcats,Time Warner Cable Arena,False
3-12-2015,Memphis Grizzlies,Verizon Center,True
3-14-2015,Sacramento Kings,Verizon Center,True
3-16-2015,Portland Trail Blazers,Verizon Center,True
3-18-2015,Utah Jazz,EnergySolutions Arena,False
3-20-2015,Los Angeles Clippers,Staples Center,False
3-22-2015,Sacramento Kings,Sleep Train Arena,False
3-23-2015,Golden State Warriors,Oracle Arena,False
3-25-2015,Indiana Pacers,Verizon Center,True
3-27-2015,Charlotte Bobcats,Verizon Center,True
3-29-2015,Houston Rockets,Verizon Center,True
4-1-2015,Philadelphia 76ers,Verizon Center,True
4-3-2015,New York Knicks,Verizon Center,True
4-4-2015,Memphis Grizzlies,FedExForum,False
4-8-2015,Philadelphia 76ers,Wells Fargo Center,False
4-10-2015,Brooklyn Nets,Barclays Center,False
4-12-2015,Atlanta Hawks,Verizon Center,True
4-14-2015,Indiana Pacers,Bankers Life Fieldhouse,False
4-15-2015,Cleveland Cavaliers,Quicken Loans Arena,False
